m,nk,k,grid,ctas,ar_mib,tc_over_tg,E_1clk_mJ,E_1clk_ms,E_1clk_f,E_2clk_mJ,E_2clk_ms,E_2clk_fg,E_2clk_fc,E_dE_pct,E_dT_pct,T_1clk_mJ,T_1clk_ms,T_1clk_f,T_2clk_mJ,T_2clk_ms,T_2clk_fg,T_2clk_fc,T_dE_pct,T_dT_pct,EDP_1clk_mJ,EDP_1clk_ms,EDP_1clk_f,EDP_2clk_mJ,EDP_2clk_ms,EDP_2clk_fg,EDP_2clk_fc,EDP_dE_pct,EDP_dT_pct
4096,8192,8192,1024,2,64,1.4604,914.55,4.5591,900,780.37,3.1219,900,1410,-14.67,-31.52,980.53,3.5252,1200,921.56,3.0506,1200,1410,-6.01,-13.46,980.53,3.5252,1200,780.37,3.1219,900,1410,-20.41,-11.44
4096,8192,8192,1024,4,64,0.762,777.33,3.1219,900,757.5,3.1219,900,1410,-2.55,0.0,862.65,2.3552,1200,849.34,2.3552,1200,1410,-1.54,0.0,862.65,2.3552,1200,849.34,2.3552,1200,1410,-1.54,0.0
4096,8192,8192,1024,8,64,0.424,761.1,3.2542,900,755.15,3.215,900,1410,-0.78,-1.21,849.8,2.4618,1200,846.3,2.4483,1200,1410,-0.41,-0.55,849.8,2.4618,1200,846.3,2.4483,1200,1410,-0.41,-0.55
4096,8192,8192,1024,16,64,0.2728,750.46,3.2922,900,750.46,3.2922,900,900,0.0,0.0,841.2,2.491,1200,844.96,2.4793,1200,1410,0.45,-0.47,841.2,2.491,1200,844.96,2.4793,1200,1410,0.45,-0.47
4096,8192,8192,1024,32,64,0.2374,755.61,3.4183,900,755.61,3.4183,900,900,0.0,0.0,845.64,2.5884,1200,857.8,2.5791,1200,1410,1.44,-0.36,845.64,2.5884,1200,845.64,2.5884,1200,1200,0.0,0.0
4096,16384,16384,2048,1,64,0.7835,2982.66,12.0602,900,2874.29,11.9002,900,1410,-3.63,-1.33,3346.63,9.0836,1200,3283.72,9.0331,1200,1410,-1.88,-0.56,3346.63,9.0836,1200,3283.72,9.0331,1200,1410,-1.88,-0.56
4096,16384,16384,2048,2,64,0.3936,2858.5,11.8225,900,2811.47,11.7431,900,1410,-1.65,-0.67,3244.25,8.901,1200,3218.29,8.876,1200,1410,-0.8,-0.28,3244.25,8.901,1200,3218.29,8.876,1200,1410,-0.8,-0.28
4096,16384,16384,2048,4,64,0.2054,2802.42,11.7078,900,2787.77,11.6682,900,1410,-0.52,-0.34,3201.79,8.8138,1200,3191.35,8.8011,1200,1410,-0.33,-0.14,3201.79,8.8138,1200,3191.35,8.8011,1200,1410,-0.33,-0.14
4096,16384,16384,2048,8,64,0.1143,2778.94,11.7219,900,2778.94,11.7219,900,900,0.0,0.0,3182.48,8.8277,1200,3186.34,8.8135,1200,1410,0.12,-0.16,3182.48,8.8277,1200,3186.34,8.8135,1200,1410,0.12,-0.16
4096,16384,16384,2048,16,64,0.0735,2768.42,11.7619,900,2768.42,11.7619,900,900,0.0,0.0,3173.99,8.8584,1200,3192.53,8.846,1200,1410,0.58,-0.14,3173.99,8.8584,1200,3173.99,8.8584,1200,1200,0.0,0.0
4096,16384,16384,2048,32,64,0.064,2773.98,11.8946,900,2773.98,11.8946,900,900,0.0,0.0,3178.79,8.9609,1200,3220.58,8.9512,1200,1410,1.31,-0.11,3178.79,8.9609,1200,3178.79,8.9609,1200,1200,0.0,0.0
8192,4096,4096,1024,1,64,5.5975,1005.58,6.9937,1200,746.18,6.0355,510,1410,-25.8,-13.7,1005.58,6.9937,1200,746.18,6.0355,510,1410,-25.8,-13.7,1005.58,6.9937,1200,746.18,6.0355,510,1410,-25.8,-13.7
8192,4096,4096,1024,2,64,2.812,668.74,4.5591,900,518.51,3.0506,510,1410,-22.46,-33.09,674.3,3.5252,1200,518.51,3.0506,510,1410,-23.1,-13.46,674.3,3.5252,1200,518.51,3.0506,510,1410,-23.1,-13.46
8192,4096,4096,1024,4,64,1.4673,485.94,2.3789,900,418.65,1.6272,900,1410,-13.85,-31.6,522.46,1.8676,1200,418.65,1.6272,900,1410,-19.87,-12.88,522.46,1.8676,1200,418.65,1.6272,900,1410,-19.87,-12.88
8192,4096,4096,1024,8,64,0.8164,423.22,1.7536,900,414.6,1.7144,900,1410,-2.04,-2.24,465.15,1.336,1200,460.34,1.3224,1200,1410,-1.03,-1.01,465.15,1.336,1200,460.34,1.3224,1200,1410,-1.03,-1.01
8192,4096,4096,1024,16,64,0.5254,412.58,1.7916,900,411.11,1.757,900,1200,-0.36,-1.93,456.55,1.3651,1200,457.69,1.3534,1200,1410,0.25,-0.86,456.55,1.3651,1200,457.69,1.3534,1200,1410,0.25,-0.86
