m,nk,mib,tc_over_tg,matched_E_pct,A_E_mJ,A_E_ms,A_E_set,B_E_mJ,B_E_ms,B_E_set,C_E_mJ,C_E_ms,C_E_set,CvB_E_mJ_pct,CvB_E_ms_pct,CvA_E_mJ_pct,CvA_E_ms_pct,matched_T_pct,A_T_mJ,A_T_ms,A_T_set,B_T_mJ,B_T_ms,B_T_set,C_T_mJ,C_T_ms,C_T_set,CvB_T_mJ_pct,CvB_T_ms_pct,CvA_T_mJ_pct,CvA_T_ms_pct,matched_EDP_pct,A_EDP_mJ,A_EDP_ms,A_EDP_set,B_EDP_mJ,B_EDP_ms,B_EDP_set,C_EDP_mJ,C_EDP_ms,C_EDP_set,CvB_EDP_mJ_pct,CvB_EDP_ms_pct,CvA_EDP_mJ_pct,CvA_EDP_ms_pct
8192,4096,256,1.854,-5.5,532.4,2.5792,f900/900 c32,541.9,2.5792,f900/900 c32,512.2,2.0724,f900/1200 c28,-5.5,-19.65,-3.81,-19.65,-17.91,582.2,2.024,f1185/1185 c32,676.6,1.9609,f1290/1290 c32,586.2,1.9088,f1080/1410 c32,-13.36,-2.66,0.69,-5.69,-9.12,582.2,2.024,f1185/1185 c32,591.5,2.0012,f1200/1200 c32,512.2,2.0724,f900/1200 c28,-13.41,3.56,-12.03,2.39
1024,8192,8,0.238,-0.46,191.8,0.7986,f900/900 c5,192.8,0.8029,f900/900 c5,191.9,0.8029,f900/1200 c5,-0.46,0.0,0.06,0.55,-0.23,233.0,0.5943,f1215/1215 c2,233.5,0.5956,f1215/1215 c2,232.9,0.5956,f1215/1365 c2,-0.23,0.0,-0.02,0.22,0.0,220.9,0.6007,f1200/1200 c5,222.1,0.6039,f1200/1200 c5,222.1,0.6039,f1200/1200 c5,0.0,0.0,0.53,0.55
1024,8192,32,0.564,-1.75,207.5,0.8845,f900/900 c22,216.0,0.9666,f900/900 c16,212.2,0.8029,f900/1200 c5,-1.75,-16.93,2.26,-9.23,-0.07,237.7,0.6887,f1185/1185 c14,272.3,0.6886,f1260/1260 c6,272.1,0.6886,f1260/1200 c6,-0.07,0.0,14.47,-0.01,-4.69,235.9,0.6899,f1170/1170 c22,243.6,0.7228,f1200/1200 c11,235.2,0.6935,f1065/1410 c5,-3.42,-4.06,-0.3,0.53
1024,8192,128,1.871,-4.25,279.3,1.3326,f900/900 c32,285.4,1.3326,f900/900 c32,273.3,1.1322,f900/1200 c22,-4.25,-15.04,-2.16,-15.04,-14.9,304.1,1.0725,f1155/1155 c32,347.9,1.0165,f1275/1275 c32,307.3,0.9814,f1080/1410 c32,-11.67,-3.45,1.03,-8.5,-6.41,304.1,1.0725,f1155/1155 c32,310.8,1.0365,f1200/1200 c32,278.6,1.0561,f900/1410 c22,-10.33,1.89,-8.38,-1.53
1024,8192,256,3.612,-8.53,416.0,2.5792,f900/900 c32,422.1,2.5792,f900/900 c32,386.1,2.0067,f510/1200 c32,-8.53,-22.2,-7.19,-22.2,-18.25,431.0,2.0711,f1155/1155 c32,480.6,1.9675,f1275/1275 c32,404.2,1.9088,f705/1410 c32,-15.9,-2.99,-6.22,-7.84,-11.45,431.0,2.0711,f1155/1155 c32,436.4,2.0012,f1200/1200 c32,404.2,1.9088,f705/1410 c32,-7.38,-4.62,-6.22,-7.84
2048,8192,8,0.122,-0.16,364.5,1.5556,f900/900 c5,366.4,1.5641,f900/900 c5,365.8,1.5641,f900/1200 c5,-0.16,0.0,0.37,0.55,-0.46,439.9,1.1563,f1215/1215 c2,451.0,1.1575,f1215/1215 c1,448.9,1.1575,f1215/1410 c1,-0.46,0.0,2.03,0.11,0.0,421.8,1.1686,f1200/1200 c5,424.4,1.1737,f1200/1200 c4,424.4,1.1737,f1200/1200 c4,0.0,0.0,0.61,0.44
2048,8192,32,0.29,-0.82,380.2,1.6415,f900/900 c22,389.3,1.5641,f900/900 c5,386.1,1.5641,f900/1200 c5,-0.82,0.0,1.56,-4.72,-0.02,442.1,1.1686,f1200/1200 c5,447.5,1.1737,f1200/1200 c4,462.4,1.1613,f1215/1020 c4,3.32,-1.06,4.6,-0.63,0.0,442.1,1.1686,f1200/1200 c5,444.3,1.175,f1200/1200 c5,444.3,1.175,f1200/1200 c5,0.0,0.0,0.51,0.55
2048,8192,128,0.96,-0.02,439.2,1.8415,f900/900 c22,450.5,1.8909,f900/900 c16,450.4,1.8909,f900/975 c16,-0.02,0.0,2.56,2.68,-0.35,498.6,1.4256,f1185/1185 c14,543.9,1.3721,f1245/1245 c14,545.6,1.3706,f1245/1260 c13,0.32,-0.11,9.43,-3.86,-0.04,492.8,1.4387,f1170/1170 c22,503.5,1.4202,f1200/1200 c16,503.3,1.4202,f1200/1065 c16,-0.04,0.0,2.13,-1.28
2048,8192,256,1.854,-4.42,542.2,2.5792,f900/900 c32,556.1,2.5792,f900/900 c32,531.5,2.1893,f900/1200 c22,-4.42,-15.12,-1.98,-15.12,-14.28,589.8,2.0711,f1155/1155 c32,678.3,1.9675,f1275/1275 c32,600.4,1.9088,f1080/1410 c32,-11.5,-2.99,1.78,-7.84,-5.66,589.8,2.0711,f1155/1155 c32,605.2,2.0012,f1200/1200 c32,543.2,2.0516,f900/1410 c22,-10.25,2.52,-7.91,-0.94
4096,8192,8,0.062,-0.04,709.7,3.0899,f900/900 c12,713.6,3.0864,f900/900 c5,713.4,3.083,f900/1200 c4,-0.04,-0.11,0.52,-0.22,-0.22,853.7,2.2801,f1215/1215 c2,865.2,2.2826,f1215/1215 c1,863.3,2.2826,f1215/1410 c1,-0.22,0.0,1.12,0.11,0.0,823.5,2.3046,f1200/1200 c5,828.7,2.3121,f1200/1200 c3,828.7,2.3121,f1200/1200 c3,0.0,0.0,0.62,0.33
