ctas,comm_sm_pct,ar_mib,m,nk,f_gemm,f_comm,iter_ms,energy_mj,base_energy_mj,base_iter_ms,base_clock,dE_vs_auto_pct,is_best_pair_for_workload,is_global_fixed_pair
2,1.9,64,1024,8192,1200,1410,3.0485,491.62,628.12,3.2139,1410,-21.73,False,False
2,1.9,64,2048,4096,300,300,12.5602,1118.57,507.91,3.1850,1410,+120.23,False,False
2,1.9,64,2048,4096,300,510,7.6145,717.79,507.91,3.1850,1410,+41.32,False,False
2,1.9,64,2048,4096,300,705,5.7157,563.32,507.91,3.1850,1410,+10.91,False,False
2,1.9,64,2048,4096,300,900,4.5848,474.82,507.91,3.1850,1410,-6.52,False,False
2,1.9,64,2048,4096,300,1050,3.9733,413.77,507.91,3.1850,1410,-18.53,False,False
2,1.9,64,2048,4096,300,1200,3.5238,392.97,507.91,3.1850,1410,-22.63,False,False
2,1.9,64,2048,4096,300,1305,3.2662,354.44,507.91,3.1850,1410,-30.22,True,False
2,1.9,64,2048,4096,300,1410,3.0485,354.46,507.91,3.1850,1410,-30.21,False,False
2,1.9,64,2048,4096,510,300,12.5602,1130.08,507.91,3.1850,1410,+122.50,False,False
2,1.9,64,2048,4096,510,510,7.6145,723.31,507.91,3.1850,1410,+42.41,False,False
2,1.9,64,2048,4096,510,705,5.7157,566.53,507.91,3.1850,1410,+11.54,False,False
2,1.9,64,2048,4096,510,900,4.5848,476.66,507.91,3.1850,1410,-6.15,False,False
2,1.9,64,2048,4096,510,1050,3.9733,414.87,507.91,3.1850,1410,-18.32,False,False
2,1.9,64,2048,4096,510,1200,3.5238,393.52,507.91,3.1850,1410,-22.52,False,False
2,1.9,64,2048,4096,510,1305,3.2662,354.68,507.91,3.1850,1410,-30.17,False,False
2,1.9,64,2048,4096,510,1410,3.0485,354.44,507.91,3.1850,1410,-30.22,False,True
2,1.9,64,2048,4096,705,300,12.5602,1150.82,507.91,3.1850,1410,+126.58,False,False
2,1.9,64,2048,4096,705,510,7.6145,735.43,507.91,3.1850,1410,+44.79,False,False
2,1.9,64,2048,4096,705,705,5.7157,575.35,507.91,3.1850,1410,+13.28,False,False
2,1.9,64,2048,4096,705,900,4.5848,483.51,507.91,3.1850,1410,-4.80,False,False
2,1.9,64,2048,4096,705,1050,3.9733,420.66,507.91,3.1850,1410,-17.18,False,False
2,1.9,64,2048,4096,705,1200,3.5238,398.53,507.91,3.1850,1410,-21.54,False,False
2,1.9,64,2048,4096,705,1305,3.2662,359.23,507.91,3.1850,1410,-29.27,False,False
2,1.9,64,2048,4096,705,1410,3.0485,358.61,507.91,3.1850,1410,-29.39,False,False
2,1.9,64,2048,4096,900,300,12.5602,1175.18,507.91,3.1850,1410,+131.37,False,False
2,1.9,64,2048,4096,900,510,7.6145,750.18,507.91,3.1850,1410,+47.70,False,False
2,1.9,64,2048,4096,900,705,5.7157,586.41,507.91,3.1850,1410,+15.46,False,False
2,1.9,64,2048,4096,900,900,4.5848,492.37,507.91,3.1850,1410,-3.06,False,False
2,1.9,64,2048,4096,900,1050,3.9733,428.33,507.91,3.1850,1410,-15.67,False,False
2,1.9,64,2048,4096,900,1200,3.5238,405.33,507.91,3.1850,1410,-20.20,False,False
2,1.9,64,2048,4096,900,1305,3.2662,365.53,507.91,3.1850,1410,-28.03,False,False
2,1.9,64,2048,4096,900,1410,3.0485,364.49,507.91,3.1850,1410,-28.24,False,False
2,1.9,64,2048,4096,1050,300,12.5602,1226.82,507.91,3.1850,1410,+141.54,False,False
2,1.9,64,2048,4096,1050,510,7.6145,781.66,507.91,3.1850,1410,+53.90,False,False
2,1.9,64,2048,4096,1050,705,5.7157,610.16,507.91,3.1850,1410,+20.13,False,False
2,1.9,64,2048,4096,1050,900,4.5848,511.51,507.91,3.1850,1410,+0.71,False,False
2,1.9,64,2048,4096,1050,1050,3.9733,444.98,507.91,3.1850,1410,-12.39,False,False
2,1.9,64,2048,4096,1050,1200,3.5238,420.14,507.91,3.1850,1410,-17.28,False,False
2,1.9,64,2048,4096,1050,1305,3.2662,379.30,507.91,3.1850,1410,-25.32,False,False
2,1.9,64,2048,4096,1050,1410,3.0485,377.37,507.91,3.1850,1410,-25.70,False,False
