clock,ctas,m,n,k,grid,waves,s_eff,occ_pct,clock_min,throttled,t_gemm_ms,t_comm_ms,t_serial_ms,t_conc_meas_ms,t_conc_pred_ms,err_t_pct,p_meas_w,p_model_measT_w,err_p_measT_pct,p_model_predT_w,err_p_predT_pct,speedup
705,1,4096,16384,16384,2048,19,107.79,99.8,705,False,14.7753,11.3748,26.0018,15.6949,15.5529,-0.9,207.66,209.5,0.89,210.87,1.55,1.6567
705,1,8192,16384,16384,4096,38,107.79,99.8,705,False,29.4803,11.3748,40.7009,30.4037,30.2561,-0.49,206.33,204.68,-0.8,205.39,-0.45,1.3387
510,1,1024,4096,4096,128,2,64.0,59.3,510,False,0.5977,15.1191,15.6993,15.2237,15.1191,-0.69,82.51,84.88,2.88,85.07,3.11,1.0312
510,1,2048,4096,4096,256,3,85.33,79.0,510,False,0.8797,15.1191,15.9839,15.2669,15.1191,-0.97,84.19,86.97,3.3,87.25,3.64,1.047
510,1,4096,4096,4096,512,5,102.4,94.8,510,False,1.4423,15.1191,16.5315,15.2939,15.1191,-1.14,88.01,91.17,3.59,91.56,4.03,1.0809
510,1,8192,4096,4096,1024,10,102.4,94.8,510,False,2.8272,15.1191,17.9151,15.4143,15.1191,-1.91,95.95,99.23,3.42,100.04,4.26,1.1622
510,1,1024,8192,8192,512,5,102.4,94.8,510,False,1.479,15.1191,16.5771,15.3213,15.1191,-1.32,88.41,91.66,3.68,92.11,4.19,1.082
510,1,2048,8192,8192,512,5,102.4,94.8,510,False,2.7668,15.1191,17.8604,15.4039,15.1191,-1.85,95.57,99.51,4.12,100.3,4.95,1.1595
510,1,4096,8192,8192,1024,10,102.4,94.8,510,False,5.4748,15.1191,20.5715,15.5781,15.1191,-2.95,111.97,115.74,3.36,117.5,4.94,1.3205
510,1,8192,8192,8192,2048,19,107.79,99.8,510,False,10.3696,15.1191,25.3686,15.9412,15.1191,-5.16,142.32,146.93,3.24,151.78,6.65,1.5914
510,1,1024,16384,16384,512,5,102.4,94.8,510,False,5.4104,15.1191,20.5115,15.5691,15.1191,-2.89,111.93,115.98,3.62,117.72,5.17,1.3174
510,1,2048,16384,16384,1024,10,102.4,94.8,510,False,10.7559,15.1191,25.7545,15.8995,15.1191,-4.91,144.67,147.65,2.06,152.3,5.27,1.6198
510,1,4096,16384,16384,2048,19,107.79,99.8,510,False,20.4027,15.1191,35.3987,21.6504,21.4765,-0.8,170.71,171.69,0.57,172.61,1.11,1.635
