clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
1200,4,2048,16384,1024,361.0,1200,False,361.8,408.0,False,True,True,False
1200,4,4096,16384,2048,365.73,1200,False,360.5,408.0,False,True,True,False
1200,4,8192,16384,4096,378.19,1200,False,366.9,408.0,False,True,True,False
900,4,1024,4096,128,106.84,900,False,104.8,260.9,False,False,True,True
900,4,2048,4096,256,118.7,900,False,117.7,260.9,False,False,True,True
900,4,4096,4096,512,143.24,900,False,142.1,260.9,False,False,True,True
900,4,8192,4096,1024,188.26,900,False,186.5,260.9,False,False,True,True
900,4,1024,8192,512,143.51,900,False,145.3,267.2,False,False,True,True
900,4,2048,8192,512,187.21,900,False,188.7,267.2,False,False,True,True
900,4,4096,8192,1024,228.37,900,False,225.9,267.2,False,False,True,True
900,4,8192,8192,2048,243.09,900,False,234.3,267.2,False,False,True,True
900,4,1024,16384,512,220.13,900,False,214.8,269.3,False,False,True,True
900,4,2048,16384,1024,242.89,900,False,236.6,269.3,False,False,True,True
900,4,4096,16384,2048,245.25,900,False,233.4,269.3,False,False,True,True
900,4,8192,16384,4096,243.86,900,False,235.8,269.3,False,False,True,True
705,4,1024,4096,128,99.01,705,False,98.7,221.6,False,False,True,True
705,4,2048,4096,256,108.8,705,False,109.0,221.6,False,False,True,True
705,4,4096,4096,512,129.04,705,False,129.2,221.6,False,False,True,True
705,4,8192,4096,1024,166.54,705,False,165.9,221.6,False,False,True,True
705,4,1024,8192,512,129.63,705,False,132.0,226.3,False,False,True,True
705,4,2048,8192,512,165.48,705,False,167.6,226.3,False,False,True,True
705,4,4096,8192,1024,197.21,705,False,195.1,226.3,False,False,True,True
705,4,8192,8192,2048,206.07,705,False,198.2,226.3,False,False,True,True
705,4,1024,16384,512,189.43,705,False,186.3,228.7,False,False,True,True
705,4,2048,16384,1024,206.15,705,False,200.6,228.7,False,False,True,True
705,4,4096,16384,2048,205.44,705,False,196.8,228.7,False,False,True,True
705,4,8192,16384,4096,203.01,705,False,198.2,228.7,False,False,True,True
510,4,1024,4096,128,92.72,510,False,93.7,183.1,False,False,True,True
510,4,2048,4096,256,100.67,510,False,101.6,183.1,False,False,True,True
510,4,4096,4096,512,116.22,510,False,117.2,183.1,False,False,True,True
510,4,8192,4096,1024,145.96,510,False,146.0,183.1,False,False,True,True
510,4,1024,8192,512,116.9,510,False,119.1,186.5,False,False,True,True
510,4,2048,8192,512,145.0,510,False,147.2,186.5,False,False,True,True
510,4,4096,8192,1024,168.17,510,False,166.0,186.5,False,False,True,True
510,4,8192,8192,2048,170.91,510,False,161.8,186.5,False,False,True,True
510,4,1024,16384,512,161.7,510,False,158.4,188.3,False,False,True,True
510,4,2048,16384,1024,171.39,510,False,163.8,188.3,False,False,True,True
510,4,4096,16384,2048,164.93,510,False,159.4,188.3,False,False,True,True
510,4,8192,16384,4096,161.97,510,False,159.7,188.3,False,False,True,True
300,4,1024,4096,128,86.5,300,False,88.6,143.4,False,False,True,True
300,4,2048,4096,256,91.4,300,False,93.7,143.4,False,False,True,True
300,4,4096,4096,512,100.87,300,False,103.9,143.4,False,False,True,True
300,4,8192,4096,1024,120.65,300,False,123.8,143.4,False,False,True,True
300,4,1024,8192,512,101.8,300,False,105.0,145.4,False,False,True,True
300,4,2048,8192,512,119.73,300,False,124.7,145.4,False,False,True,True
300,4,4096,8192,1024,131.87,300,False,132.4,145.4,False,False,True,True
300,4,8192,8192,2048,125.93,300,False,124.1,145.4,False,False,True,True
300,4,1024,16384,512,128.78,300,False,127.3,146.5,False,False,True,True
300,4,2048,16384,1024,126.86,300,False,125.6,146.5,False,False,True,True
300,4,4096,16384,2048,120.78,300,False,121.0,146.5,False,False,True,True
300,4,8192,16384,4096,118.51,300,False,120.4,146.5,False,False,True,True
1410,8,1024,4096,128,189.49,1410,False,200.1,620.6,False,True,True,False
1410,8,2048,4096,256,244.89,1410,False,261.5,620.6,False,True,True,False
1410,8,4096,4096,512,357.61,1410,False,387.8,620.6,False,True,True,False
1410,8,8192,4096,1024,401.66,1275,True,493.7,620.6,True,True,True,True
1410,8,1024,8192,512,366.1,1410,False,399.6,632.3,False,True,True,False
1410,8,2048,8192,512,400.72,1305,True,478.9,632.3,True,True,True,True
1410,8,4096,8192,1024,399.6,1275,True,507.7,632.3,True,True,True,True
1410,8,8192,8192,2048,399.67,1230,True,544.3,632.3,True,True,True,True
1410,8,1024,16384,512,398.67,1305,True,487.7,636.8,True,True,True,True
1410,8,2048,16384,1024,398.16,1215,True,540.6,636.8,True,True,True,True
1410,8,4096,16384,2048,398.41,1215,True,552.0,636.8,True,True,True,True
1410,8,8192,16384,4096,398.29,1185,True,557.5,636.8,True,True,True,True
1200,8,1024,4096,128,150.76,1200,False,150.9,402.9,False,True,True,False
1200,8,2048,4096,256,182.98,1200,False,187.5,402.9,False,True,True,False
1200,8,4096,4096,512,250.86,1200,False,258.7,402.9,False,True,True,False
1200,8,8192,4096,1024,317.88,1200,False,319.9,402.9,False,True,True,False
1200,8,1024,8192,512,252.54,1200,False,267.5,411.1,False,True,True,False
1200,8,2048,8192,512,302.34,1200,False,308.1,411.1,False,True,True,False
1200,8,4096,8192,1024,328.54,1200,False,327.3,411.1,False,True,True,False
1200,8,8192,8192,2048,357.39,1200,False,351.8,411.1,False,True,True,False
1200,8,1024,16384,512,312.42,1200,False,310.9,416.1,False,True,True,False
