clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
1410,32,4096,8192,1024,399.96,1290,True,505.2,653.7,True,True,True,True
1410,32,8192,8192,2048,399.48,1245,True,531.5,653.7,True,True,True,True
1410,32,1024,16384,512,399.52,1305,True,486.5,658.2,True,True,True,True
1410,32,2048,16384,1024,397.88,1260,True,515.2,658.2,True,True,True,True
1410,32,4096,16384,2048,398.24,1245,True,557.6,658.2,True,True,True,True
1410,32,8192,16384,4096,397.14,1185,True,560.7,658.2,True,True,True,True
1200,32,1024,4096,128,194.41,1200,False,197.0,421.1,False,True,True,False
1200,32,2048,4096,256,223.18,1200,False,226.6,421.1,False,True,True,False
1200,32,4096,4096,512,264.25,1200,False,261.8,421.1,False,True,True,False
1200,32,8192,4096,1024,302.64,1200,False,298.5,421.1,False,True,True,False
1200,32,1024,8192,512,262.94,1200,False,269.8,429.3,False,True,True,False
1200,32,2048,8192,512,303.6,1200,False,304.6,429.3,False,True,True,False
1200,32,4096,8192,1024,326.65,1200,False,325.4,429.3,False,True,True,False
1200,32,8192,8192,2048,341.85,1200,False,341.3,429.3,False,True,True,False
1200,32,1024,16384,512,312.8,1200,False,311.9,434.3,False,True,True,False
1200,32,2048,16384,1024,329.72,1200,False,333.4,434.3,False,True,True,False
1200,32,4096,16384,2048,354.3,1200,False,357.4,434.3,False,True,True,False
1200,32,8192,16384,4096,367.37,1200,False,364.8,434.3,False,True,True,False
900,32,1024,4096,128,151.67,900,False,150.6,278.6,False,False,True,True
900,32,2048,4096,256,172.41,900,False,166.0,278.6,False,False,True,True
900,32,4096,4096,512,193.05,900,False,183.7,278.6,False,False,True,True
900,32,8192,4096,1024,212.62,900,False,201.8,278.6,False,False,True,True
900,32,1024,8192,512,191.51,900,False,188.7,284.9,False,False,True,True
900,32,2048,8192,512,213.47,900,False,206.8,284.9,False,False,True,True
900,32,4096,8192,1024,222.55,900,False,216.0,284.9,False,False,True,True
900,32,8192,8192,2048,229.38,900,False,222.9,284.9,False,False,True,True
900,32,1024,16384,512,213.3,900,False,207.0,287.1,False,False,True,True
900,32,2048,16384,1024,221.54,900,False,217.9,287.1,False,False,True,True
900,32,4096,16384,2048,233.2,900,False,230.6,287.1,False,False,True,True
900,32,8192,16384,4096,236.61,900,False,234.4,287.1,False,False,True,True
705,32,1024,4096,128,140.3,705,False,136.7,236.1,False,False,True,True
705,32,2048,4096,256,155.1,705,False,148.0,236.1,False,False,True,True
705,32,4096,4096,512,170.89,705,False,160.5,236.1,False,False,True,True
705,32,8192,4096,1024,184.31,705,False,173.5,236.1,False,False,True,True
705,32,1024,8192,512,169.66,705,False,164.4,240.8,False,False,True,True
705,32,2048,8192,512,184.2,705,False,177.3,240.8,False,False,True,True
705,32,4096,8192,1024,189.6,705,False,183.1,240.8,False,False,True,True
705,32,8192,8192,2048,192.68,705,False,187.8,240.8,False,False,True,True
705,32,1024,16384,512,182.22,705,False,176.1,243.2,False,False,True,True
705,32,2048,16384,1024,186.87,705,False,184.3,243.2,False,False,True,True
705,32,4096,16384,2048,196.34,705,False,193.8,243.2,False,False,True,True
705,32,8192,16384,4096,196.91,705,False,196.6,243.2,False,False,True,True
510,32,1024,4096,128,131.43,510,False,128.5,196.4,False,False,True,True
510,32,2048,4096,256,135.11,510,False,127.5,196.4,False,False,True,True
510,32,4096,4096,512,147.89,510,False,139.0,196.4,False,False,True,True
510,32,8192,4096,1024,153.79,510,False,143.5,196.4,False,False,True,True
510,32,1024,8192,512,147.81,510,False,141.7,199.9,False,False,True,True
510,32,2048,8192,512,155.05,510,False,146.4,199.9,False,False,True,True
510,32,4096,8192,1024,158.65,510,False,149.6,199.9,False,False,True,True
510,32,8192,8192,2048,161.14,510,False,153.0,199.9,False,False,True,True
510,32,1024,16384,512,153.06,510,False,146.1,201.6,False,False,True,True
510,32,2048,16384,1024,156.61,510,False,150.5,201.6,False,False,True,True
510,32,4096,16384,2048,161.58,510,False,156.8,201.6,False,False,True,True
510,32,8192,16384,4096,162.78,510,False,158.4,201.6,False,False,True,True
300,32,1024,4096,128,114.01,300,False,108.1,155.2,False,False,True,True
300,32,2048,4096,256,117.1,300,False,109.7,155.2,False,False,True,True
300,32,4096,4096,512,122.37,300,False,114.3,155.2,False,False,True,True
300,32,8192,4096,1024,121.24,300,False,114.2,155.2,False,False,True,True
300,32,1024,8192,512,122.15,300,False,115.9,157.2,False,False,True,True
300,32,2048,8192,512,120.32,300,False,112.8,157.2,False,False,True,True
300,32,4096,8192,1024,119.87,300,False,114.2,157.2,False,False,True,True
300,32,8192,8192,2048,121.38,300,False,116.9,157.2,False,False,True,True
300,32,1024,16384,512,118.35,300,False,114.1,158.3,False,False,True,True
300,32,2048,16384,1024,120.4,300,False,115.3,158.3,False,False,True,True
300,32,4096,16384,2048,120.71,300,False,118.7,158.3,False,False,True,True
300,32,8192,16384,4096,119.85,300,False,119.2,158.3,False,False,True,True
