m,nk,ctas,ar_mib,tc_over_tg,E_Bmeas_mJ,E_Bmeas_ms,E_Bmeas_f,E_Bcomp_mJ,E_Bcomp_ms,E_C_mJ,E_C_ms,E_C_fg,E_C_fc,E_C_vs_Bmeas_pct,E_C_vs_Bcomp_pct,E_compbias_pct,T_Bmeas_mJ,T_Bmeas_ms,T_Bmeas_f,T_Bcomp_mJ,T_Bcomp_ms,T_C_mJ,T_C_ms,T_C_fg,T_C_fc,T_C_vs_Bmeas_pct,T_C_vs_Bcomp_pct,T_compbias_pct,EDP_Bmeas_mJ,EDP_Bmeas_ms,EDP_Bmeas_f,EDP_Bcomp_mJ,EDP_Bcomp_ms,EDP_C_mJ,EDP_C_ms,EDP_C_fg,EDP_C_fc,EDP_C_vs_Bmeas_pct,EDP_C_vs_Bcomp_pct,EDP_compbias_pct
4096,4096,1,64,10.8867,840.7,7.1555,1200,844.67,6.9937,611.78,6.0355,300,1410,-27.23,-27.57,0.47,840.7,7.1555,1200,844.67,6.9937,611.78,6.0355,300,1410,-27.23,-27.57,0.47,840.7,7.1555,1200,844.67,6.9937,611.78,6.0355,300,1410,-27.23,-27.57,0.47
4096,4096,2,64,5.4692,516.26,3.6892,1200,513.39,3.5252,387.57,3.0506,510,1410,-24.93,-24.51,-0.56,516.26,3.6892,1200,513.39,3.5252,387.57,3.0506,510,1410,-24.93,-24.51,-0.56,516.26,3.6892,1200,513.39,3.5252,387.57,3.0506,510,1410,-24.93,-24.51,-0.56
4096,4096,4,64,2.8538,366.15,2.5562,900,355.65,2.3789,281.42,1.6272,510,1410,-23.14,-20.87,-2.87,369.8,2.013,1200,361.55,1.8676,281.42,1.6272,510,1410,-23.9,-22.16,-2.23,369.8,2.013,1200,361.55,1.8676,281.42,1.6272,510,1410,-23.9,-22.16,-2.23
4096,4096,8,64,1.5878,270.52,1.4396,900,266.55,1.3236,239.24,1.0003,900,1410,-11.56,-10.25,-1.47,291.81,1.1632,1200,285.42,1.0659,271.69,0.9308,1200,1410,-6.89,-4.81,-2.19,291.81,1.1632,1200,285.42,1.0659,239.24,1.0003,900,1410,-18.01,-16.18,-2.19
4096,4096,16,64,1.0218,256.58,1.2648,900,233.74,1.0003,231.53,0.9693,900,1200,-9.76,-0.95,-8.9,278.16,1.0069,1200,253.52,0.7605,253.9,0.7578,1200,1410,-8.72,0.15,-8.86,278.16,1.0069,1200,253.52,0.7605,253.9,0.7578,1200,1410,-8.72,0.15,-8.86
4096,4096,32,64,0.8889,267.55,1.3859,900,239.11,1.13,236.59,1.0667,900,1200,-11.57,-1.06,-10.63,288.92,1.0934,1200,258.58,0.8669,262.73,0.8576,1200,1410,-9.06,1.6,-10.5,288.92,1.0934,1200,258.58,0.8669,258.58,0.8669,1200,1200,-10.5,0.0,-10.5
4096,8192,1,64,2.907,1309.48,9.4972,900,1301.22,9.0752,991.04,6.0355,510,1410,-24.32,-23.84,-0.63,1327.73,7.3873,1200,1311.8,6.9937,991.04,6.0355,510,1410,-25.36,-24.45,-1.2,1327.73,7.3873,1200,1311.8,6.9937,991.04,6.0355,510,1410,-25.36,-24.45,-1.2
4096,8192,2,64,1.4604,939.12,5.0007,900,914.55,4.5591,780.37,3.1219,900,1410,-16.9,-14.67,-2.62,997.02,3.9388,1200,980.53,3.5252,921.56,3.0506,1200,1410,-7.57,-6.01,-1.65,997.02,3.9388,1200,980.53,3.5252,780.37,3.1219,900,1410,-21.73,-20.41,-1.65
4096,8192,4,64,0.762,823.1,3.6042,900,777.33,3.1219,757.5,3.1219,900,1410,-7.97,-2.55,-5.56,904.66,2.7505,1200,862.65,2.3552,849.34,2.3552,1200,1410,-6.12,-1.54,-4.64,904.66,2.7505,1200,862.65,2.3552,849.34,2.3552,1200,1410,-6.12,-1.54,-4.64
4096,8192,8,64,0.424,823.33,3.5884,900,761.1,3.2542,755.15,3.215,900,1410,-8.28,-0.78,-7.56,910.55,2.7715,1200,849.8,2.4618,846.3,2.4483,1200,1410,-7.06,-0.41,-6.67,910.55,2.7715,1200,849.8,2.4618,846.3,2.4483,1200,1410,-7.06,-0.41,-6.67
