clock,clock_achieved,throttled,m,nk,ar_mib,ctas,t_gemm_ms,t_comm_ms,iter_ms_model,iter_ms_meas,meas_w,model_w,err_pct,pred_w_throttled,err_throttled_pct,speedup,dE_pct
705,705,False,8192,8192,64,4,7.396,2.964,7.552,8.082,206.1,205.7,-0.2,,,1.3,8.9
705,705,False,1024,16384,64,4,3.917,2.964,3.917,4.812,189.4,215.0,13.5,,,1.426,14.5
705,705,False,2048,16384,64,4,7.783,2.964,7.783,7.99,206.2,204.1,-1.0,,,1.353,12.3
705,705,False,4096,16384,64,4,14.74,2.964,14.896,15.692,205.4,203.8,-0.8,,,1.13,4.1
705,705,False,8192,16384,64,4,29.427,2.964,29.583,30.4,203.0,201.7,-0.6,,,1.067,1.8
510,510,False,1024,4096,64,4,0.603,3.917,3.917,4.005,92.7,94.8,2.3,,,1.114,9.4
510,510,False,2048,4096,64,4,0.87,3.917,3.917,4.035,100.7,103.0,2.3,,,1.177,11.8
510,510,False,4096,4096,64,4,1.405,3.917,3.917,4.068,116.2,118.9,2.3,,,1.306,16.3
510,510,False,8192,4096,64,4,2.74,3.917,3.917,4.196,146.0,150.5,3.1,,,1.591,22.9
510,510,False,1024,8192,64,4,1.405,3.917,3.917,4.083,116.9,120.1,2.7,,,1.309,16.2
510,510,False,2048,8192,64,4,2.74,3.917,3.917,4.181,145.0,152.8,5.4,,,1.583,22.2
510,510,False,4096,8192,64,4,5.411,3.917,5.411,5.858,168.2,173.9,3.4,,,1.598,19.8
510,510,False,8192,8192,64,4,10.219,3.917,10.426,11.069,170.9,166.8,-2.4,,,1.287,10.1
510,510,False,1024,16384,64,4,5.411,3.917,5.411,6.329,161.7,175.7,8.7,,,1.467,16.4
510,510,False,2048,16384,64,4,10.754,3.917,10.754,10.928,171.4,165.6,-3.4,,,1.339,10.4
510,510,False,4096,16384,64,4,20.37,3.917,20.576,21.611,164.9,164.4,-0.3,,,1.123,4.2
510,510,False,8192,16384,64,4,40.67,3.917,40.876,41.935,162.0,162.2,0.2,,,1.063,2.0
300,300,False,1024,4096,64,4,1.019,6.403,6.403,6.425,86.5,89.1,3.0,,,1.138,10.9
300,300,False,2048,4096,64,4,1.473,6.403,6.403,6.455,91.4,94.3,3.1,,,1.209,14.6
300,300,False,4096,4096,64,4,2.381,6.403,6.403,6.491,100.9,104.4,3.5,,,1.346,19.9
300,300,False,8192,4096,64,4,4.65,6.403,6.403,6.578,120.7,124.8,3.4,,,1.693,29.6
300,300,False,1024,8192,64,4,2.381,6.403,6.403,6.5,101.8,105.2,3.3,,,1.352,19.8
300,300,False,2048,8192,64,4,4.65,6.403,6.403,6.543,119.7,126.2,5.4,,,1.687,29.3
300,300,False,4096,8192,64,4,9.19,6.403,9.19,9.483,131.9,134.4,1.9,,,1.645,24.2
300,300,False,8192,8192,64,4,17.362,6.403,17.699,18.643,125.9,127.1,0.9,,,1.282,12.2
300,300,False,1024,16384,64,4,9.19,6.403,9.19,10.209,128.8,135.5,5.2,,,1.516,19.7
300,300,False,2048,16384,64,4,18.27,6.403,18.27,18.418,126.9,126.3,-0.5,,,1.334,13.7
300,300,False,4096,16384,64,4,34.614,6.403,34.951,36.576,120.8,124.0,2.6,,,1.12,5.1
300,300,False,8192,16384,64,4,69.117,6.403,69.454,71.099,118.5,121.8,2.8,,,1.062,3.0
1410,1410,False,1024,4096,64,8,0.222,0.91,0.91,1.0,189.5,205.7,8.6,,,1.155,7.8
1410,1410,False,2048,4096,64,8,0.319,0.91,0.91,1.01,244.9,269.8,10.2,,,1.244,9.3
1410,1410,False,4096,4096,64,8,0.512,0.91,0.91,1.034,357.6,394.3,10.3,,,1.416,9.3
1410,1275,True,8192,4096,64,8,0.995,0.91,1.086,1.392,401.7,548.9,36.7,425.8,6.0,1.419,20.1
1410,1410,False,1024,8192,64,8,0.512,0.91,0.91,1.048,366.1,400.9,9.5,,,1.418,10.4
1410,1305,True,2048,8192,64,8,0.995,0.91,1.177,1.45,400.7,523.0,30.5,433.1,8.1,1.347,17.0
1410,1275,True,4096,8192,64,8,1.962,0.91,2.053,2.564,399.6,558.7,39.8,430.7,7.8,1.179,14.2
1410,1230,True,8192,8192,64,8,3.701,0.91,3.797,4.666,399.7,581.0,45.4,400.8,0.3,1.092,7.9
1410,1305,True,1024,16384,64,8,1.962,0.91,2.144,2.709,398.7,542.7,36.1,447.6,12.3,1.108,9.4
1410,1215,True,2048,16384,64,8,3.894,0.91,3.985,4.635,398.2,562.5,41.3,376.0,-5.6,1.124,11.0
1410,1215,True,4096,16384,64,8,7.373,0.91,7.469,9.104,398.4,585.7,47.0,389.5,-2.2,1.026,3.0
1410,1185,True,8192,16384,64,8,14.717,0.91,14.789,17.842,398.3,586.7,47.3,367.6,-7.7,1.012,1.3
1200,1200,False,1024,4096,64,8,0.26,1.036,1.036,1.134,150.8,155.3,3.0,,,1.161,9.4
1200,1200,False,2048,4096,64,8,0.373,1.036,1.036,1.149,183.0,194.9,6.5,,,1.251,11.4
1200,1200,False,4096,4096,64,8,0.601,1.036,1.036,1.163,250.9,272.0,8.4,,,1.443,13.6
1200,1200,False,8192,4096,64,8,1.169,1.036,1.272,1.535,317.9,357.5,12.5,,,1.487,11.3
1200,1200,False,1024,8192,64,8,0.601,1.036,1.036,1.169,252.5,276.7,9.6,,,1.452,14.6
1200,1200,False,2048,8192,64,8,1.169,1.036,1.376,1.62,302.3,342.8,13.4,,,1.386,9.0
1200,1200,False,4096,8192,64,8,2.305,1.036,2.408,2.771,328.5,359.7,9.5,,,1.23,4.9
1200,1200,False,8192,8192,64,8,4.349,1.036,4.458,4.865,357.4,370.7,3.7,,,1.135,0.7
1200,1200,False,1024,16384,64,8,2.305,1.036,2.512,2.974,312.4,352.3,12.8,,,1.143,3.3
1200,1200,False,2048,16384,64,8,4.577,1.036,4.68,4.808,358.1,361.7,1.0,,,1.181,1.7
1200,1200,False,4096,16384,64,8,8.666,1.036,8.775,9.331,362.6,374.4,3.3,,,1.052,-0.7
1200,1185,False,8192,16384,64,8,17.299,1.036,17.381,18.002,375.2,374.3,-0.2,,,1.03,-1.6
900,900,False,1024,4096,64,8,0.344,1.32,1.32,1.398,124.8,124.2,-0.5,,,1.185,10.6
900,900,False,2048,4096,64,8,0.496,1.32,1.32,1.415,145.0,148.1,2.1,,,1.282,13.9
900,900,False,4096,4096,64,8,0.799,1.32,1.32,1.44,187.9,194.7,3.6,,,1.49,17.7
900,900,False,8192,4096,64,8,1.556,1.32,1.688,1.979,223.8,237.6,6.1,,,1.485,15.1
900,900,False,1024,8192,64,8,0.799,1.32,1.32,1.448,189.5,198.5,4.8,,,1.496,17.7
900,900,False,2048,8192,64,8,1.556,1.32,1.82,2.075,214.5,230.2,7.3,,,1.405,13.6
