case,pas,clock,clock_med,sm_light,sm_heavy,light_experts,tile_share_light,ms,power_w,energy_mj,tflops
persistent_2blk_per_sm,1,1200,1200,,,,,4.24076,322.1,1365.9474,137.87
pinned_L16_sm3,1,1200,1200,3,105,16,0.0455,5.28855,273.69,1447.4228,110.55
pinned_L8_sm1,1,1200,1200,1,107,8,0.0164,5.52128,265.18,1464.132,105.89
pinned_L96_sm66,1,1200,1200,66,42,96,0.5956,4.37801,317.95,1391.9877,133.54
pinned_L8_sm2,1,1200,1200,2,106,8,0.0164,4.28178,320.46,1372.1384,136.54
pinned_L8_sm4,1,1200,1200,4,104,8,0.0164,4.35533,317.68,1383.6028,134.24
pinned_L64_sm33,1,1200,1200,33,75,64,0.3242,4.34661,322.38,1401.2598,134.51
persistent_1blk_per_sm,1,1200,1200,,,,,5.04443,274.24,1383.3844,115.9
pinned_L48_sm26,1,1200,1200,26,82,48,0.2077,4.43792,317.41,1408.6408,131.74
pinned_L64_sm35,1,1200,1200,35,73,64,0.3242,4.30508,323.51,1392.7358,135.81
pinned_L16_sm9,1,1200,1200,9,99,16,0.0455,4.42076,316.8,1400.4976,132.25
pinned_L64_sm31,1,1200,1200,31,77,64,0.3242,4.38251,320.03,1402.535,133.41
pinned_L16_sm5,1,1200,1200,5,103,16,0.0455,4.27651,322.38,1378.6623,136.71
pinned_L96_sm60,1,1200,1200,60,48,96,0.5956,4.4462,315.06,1400.82,131.49
pinned_L32_sm15,1,1200,1200,15,93,32,0.1202,4.36539,320.62,1399.63,133.93
pinned_L48_sm22,1,1200,1200,22,86,48,0.2077,4.3005,322.97,1388.934,135.95
pinned_L16_sm1,1,1200,1200,1,107,16,0.0455,12.00646,162.96,1956.5719,48.69
pinned_L96_sm64,1,1200,1200,64,44,96,0.5956,4.29829,320.62,1378.1169,136.02
pinned_L32_sm11,1,1200,1200,11,97,32,0.1202,4.50319,310.37,1397.6546,129.83
pinned_L16_sm7,1,1200,1200,7,101,16,0.0455,4.36734,317.24,1385.4935,133.87
pinned_L48_sm18,1,1200,1200,18,90,48,0.2077,4.5512,308.56,1404.318,128.46
pinned_L8_sm6,1,1200,1200,6,102,8,0.0164,4.42117,313.58,1386.3895,132.24
pinned_L64_sm39,1,1200,1200,39,69,64,0.3242,4.47346,313.99,1404.6208,130.69
pinned_L48_sm24,1,1200,1200,24,84,48,0.2077,4.35996,318.82,1390.043,134.1
pinned_L48_sm20,1,1200,1200,20,88,48,0.2077,4.44153,316.2,1404.4124,131.63
pinned_L32_sm17,1,1200,1200,17,91,32,0.1202,4.43105,316.48,1402.3393,131.94
pinned_L16_sm1,2,1200,1200,1,107,16,0.0455,12.00805,162.96,1956.8321,48.69
pinned_L96_sm64,2,1200,1200,64,44,96,0.5956,4.29897,320.3,1376.9615,136.0
pinned_L96_sm66,2,1200,1200,66,42,96,0.5956,4.37885,315.93,1383.4101,133.52
pinned_L32_sm9,2,1200,1200,9,99,32,0.1202,4.88242,292.74,1429.2789,119.75
