model,pas,rep,layer,m_tokens,clock,clock_med,held,locked,ms_per_layer,power_w,idle_w,p_dyn_w,energy_mj_per_layer,e_dyn_mj_per_layer,tflops,kappa_mw_per_mhz_per_sm,replays,reps
qwen,4,0,0,7744,1005,1005,True,True,4.75358,241.99,63.42,178.57,1150.3185,848.8466,122.99,1.6452,131,4
qwen,4,0,0,7744,1290,1290,True,True,3.7972,380.05,73.37,306.68,1443.1242,1164.524,153.97,2.20126,164,4
qwen,4,0,0,7744,1050,1050,True,True,4.56632,252.85,63.77,189.08,1154.5935,863.3994,128.04,1.66737,136,4
qwen,4,0,0,7744,1140,1140,True,True,4.24441,287.44,66.65,220.79,1220.0139,937.1238,137.75,1.79329,147,4
qwen,4,0,0,7744,1170,1170,True,True,4.144,303.6,67.8,235.8,1258.1179,977.1548,141.08,1.8661,150,4
qwen,4,0,0,7744,945,945,True,True,5.02396,234.07,63.42,170.65,1175.9595,857.3396,116.37,1.67206,124,4
qwen,4,0,0,7744,735,735,True,True,6.39388,195.52,61.62,133.9,1250.1306,856.14,91.44,1.68682,97,4
qwen,5,0,0,7744,-1,1320,False,False,3.74382,400.43,64.85,335.58,1499.1384,1256.3516,156.16,2.35396,141,4
qwen,5,0,0,7744,780,780,True,True,6.03324,204.05,62.23,141.82,1231.0826,855.6341,96.91,1.68352,103,4
qwen,5,0,0,7744,960,960,True,True,4.95704,234.94,63.1,171.84,1164.6075,851.8181,117.94,1.65741,125,4
qwen,5,0,0,7744,990,990,True,True,4.82054,239.37,63.1,176.27,1153.8934,849.7172,121.28,1.64862,129,4
qwen,5,0,0,7744,1185,1185,True,True,4.09293,314.46,67.8,246.66,1287.0632,1009.5624,142.84,1.92733,152,4
qwen,5,0,0,7744,1110,1110,True,True,4.34856,273.23,65.45,207.78,1188.156,903.543,134.45,1.73323,142,4
qwen,5,0,0,7744,690,690,True,True,6.81488,186.63,61.08,125.55,1271.8607,855.6079,85.79,1.68478,91,4
qwen,5,0,0,7744,1410,1320,False,True,3.72445,403.82,82.22,321.6,1504.0074,1197.7832,156.98,2.25589,177,4
qwen,5,0,0,7744,1275,1275,True,True,3.83605,366.85,73.1,293.75,1407.2563,1126.8408,152.41,2.13326,162,4
qwen,5,0,0,7744,600,600,True,True,7.77007,171.49,61.35,110.14,1332.4896,855.7957,75.24,1.69969,80,4
qwen,5,0,0,7744,1335,1320,True,True,3.72864,402.48,76.59,325.89,1500.7048,1215.1279,156.8,2.28598,169,4
qwen,5,0,0,7744,510,510,True,True,9.02194,156.19,61.08,95.11,1409.1376,858.0772,64.8,1.72676,69,4
