pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
0,64,light,54,930,930,True,1821,2432,1064,0.53676,127.27,61.95,65.32,1.30068,35.06121,500
0,64,heavy,54,930,930,True,60131,63552,27804,12.9305,118.33,61.95,56.38,1.12266,729.02169,28
0,128,light,54,930,930,True,1821,3200,700,0.53968,125.65,61.95,63.7,1.26842,34.3775,500
0,128,heavy,54,930,930,True,60131,67072,14672,10.40976,123.3,61.95,61.35,1.22162,638.6387,35
0,16,light,54,990,990,True,1821,1936,3388,0.8881,120.08,62.23,57.85,1.08212,51.37654,418
0,16,heavy,54,990,990,True,60131,60880,106540,26.05132,113.51,62.23,51.28,0.95922,1335.91175,14
0,32,light,54,990,990,True,1821,2080,1820,0.56488,134.91,62.23,72.68,1.35952,41.05516,500
0,32,heavy,54,990,990,True,60131,61824,54096,15.23709,125.85,62.23,63.62,1.19005,969.38338,24
0,64,light,54,990,990,True,1821,2432,1064,0.50693,131.41,62.23,69.18,1.29405,35.06928,500
0,64,heavy,54,990,990,True,60131,63552,27804,12.16848,122.43,62.23,60.2,1.12608,732.54231,30
0,128,light,54,990,990,True,1821,3200,700,0.50777,129.75,62.23,67.52,1.263,34.28489,500
0,128,heavy,54,990,990,True,60131,67072,14672,9.7871,126.99,62.23,64.76,1.21137,633.81259,38
1,16,light,54,990,990,True,1821,1936,3388,0.88805,120.08,62.23,57.85,1.08212,51.37349,419
1,16,heavy,54,990,990,True,60131,60880,106540,26.05213,113.63,62.23,51.4,0.96147,1339.07927,14
1,32,light,54,990,990,True,1821,2080,1820,0.56487,135.05,62.23,72.82,1.36214,41.13368,500
1,32,heavy,54,990,990,True,60131,61824,54096,15.23702,125.38,62.23,63.15,1.18126,962.21787,24
1,64,light,54,990,990,True,1821,2432,1064,0.50693,131.55,62.23,69.32,1.29667,35.14061,500
1,64,heavy,54,990,990,True,60131,63552,27804,12.16876,121.7,62.23,59.47,1.11242,723.67634,30
1,128,light,54,990,990,True,1821,3200,700,0.50777,129.94,62.23,67.71,1.26655,34.38078,500
1,128,heavy,54,990,990,True,60131,67072,14672,9.78753,127.6,62.23,65.37,1.22278,639.81082,38
1,16,light,54,870,870,True,1821,1936,3388,0.9831,113.78,61.62,52.16,1.11026,51.27873,379
1,16,heavy,54,870,870,True,60131,60880,106540,29.03312,107.14,61.62,45.52,0.96892,1321.5876,12
1,32,light,54,870,870,True,1821,2080,1820,0.6261,127.4,61.62,65.78,1.40017,41.18507,500
1,32,heavy,54,870,870,True,60131,61824,54096,17.00635,119.2,61.62,57.58,1.22563,979.2257,22
1,64,light,54,870,870,True,1821,2432,1064,0.57169,123.03,61.62,61.41,1.30715,35.10745,500
1,64,heavy,54,870,870,True,60131,63552,27804,13.80673,114.78,61.62,53.16,1.13155,733.96597,27
1,128,light,54,870,870,True,1821,3200,700,0.57599,121.43,61.62,59.81,1.27309,34.45024,500
1,128,heavy,54,870,870,True,60131,67072,14672,11.11967,119.2,61.62,57.58,1.22563,640.27076,33
1,16,light,54,690,690,True,1821,1936,3388,1.22076,102.16,60.15,42.01,1.12748,51.28397,305
1,16,heavy,54,690,690,True,60131,60880,106540,36.30157,97.19,60.15,37.04,0.9941,1344.61019,10
1,32,light,54,690,690,True,1821,2080,1820,0.77588,113.78,60.15,53.63,1.43935,41.61059,480
1,32,heavy,54,690,690,True,60131,61824,54096,21.23059,106.15,60.15,46.0,1.23457,976.60725,17
1,64,light,54,690,690,True,1821,2432,1064,0.71869,109.36,60.15,49.21,1.32072,35.3666,500
1,64,heavy,54,690,690,True,60131,63552,27804,17.39826,102.43,60.15,42.28,1.13473,735.59835,21
1,128,light,54,690,690,True,1821,3200,700,0.72494,107.73,60.15,47.58,1.27697,34.49242,500
1,128,heavy,54,690,690,True,60131,67072,14672,14.01186,105.99,60.15,45.84,1.23027,642.30376,26
1,16,light,54,780,780,True,1821,1936,3388,1.08673,108.22,60.75,47.47,1.12702,51.58722,342
1,16,heavy,54,780,780,True,60131,60880,106540,32.20701,101.89,60.75,41.14,0.97673,1324.99648,11
1,32,light,54,780,780,True,1821,2080,1820,0.6913,120.35,60.75,59.6,1.415,41.20127,500
1,32,heavy,54,780,780,True,60131,61824,54096,18.85466,112.76,60.75,52.01,1.23481,980.63064,19
1,64,light,54,780,780,True,1821,2432,1064,0.63633,116.25,60.75,55.5,1.31766,35.31635,500
1,64,heavy,54,780,780,True,60131,63552,27804,15.39338,108.61,60.75,47.86,1.13628,736.72699,24
1,128,light,54,780,780,True,1821,3200,700,0.64178,114.39,60.75,53.64,1.2735,34.42491,500
1,128,heavy,54,780,780,True,60131,67072,14672,12.39859,112.16,60.75,51.41,1.22056,637.41175,30
1,16,light,54,600,600,True,1821,1936,3388,1.37368,97.46,59.6,37.86,1.16852,52.0076,271
1,16,heavy,54,600,600,True,60131,60880,106540,41.09101,92.07,59.6,32.47,1.00216,1334.22493,9
1,32,light,54,600,600,True,1821,2080,1820,0.87481,106.86,59.6,47.26,1.45864,41.34333,425
1,32,heavy,54,600,600,True,60131,61824,54096,24.09703,100.31,59.6,40.71,1.25648,980.9899,15
1,64,light,54,600,600,True,1821,2432,1064,0.82294,102.33,59.6,42.73,1.31883,35.16438,452
1,64,heavy,54,600,600,True,60131,63552,27804,19.96297,95.11,59.6,35.51,1.09599,708.88506,18
1,128,light,54,600,600,True,1821,3200,700,0.83091,102.06,59.6,42.46,1.31049,35.28036,447
1,128,heavy,54,600,600,True,60131,67072,14672,16.07857,100.69,59.6,41.09,1.26821,660.66836,23
