strategy,freq_mhz,msg_mib,latency_run1_ms,latency_run2_ms,abs_deviation_pct
AUTO,1410,8.0,0.10152239793346773,0.10399352015711325,2.434
AUTO,1410,16.0,0.18549552680768944,0.18571420064786587,0.118
AUTO,1410,25.0,0.26001668580820864,0.26039943120950043,0.147
AUTO,1410,32.0,0.2942968389644834,0.29482240115894986,0.179
AUTO,1410,64.0,0.559517822265625,0.5600363564657999,0.093
AUTO,1410,100.0,0.8409626850328948,0.83907839457194,0.224
AUTO,1410,128.0,1.0337319906655844,1.034014188326322,0.027
AUTO,1410,256.0,1.9628531107088414,1.9633276962652437,0.024
MIN_LATENCY,300,8.0,0.20748107353604675,0.2101819746333397,1.302
MIN_LATENCY,300,16.0,0.35303622895637443,0.35529152508740014,0.639
MIN_LATENCY,300,25.0,0.5280087658958713,0.5273979944898592,0.116
MIN_LATENCY,300,32.0,0.6594955829011292,0.6598314412434896,0.051
MIN_LATENCY,300,64.0,1.25181884765625,1.2552607536315918,0.275
MIN_LATENCY,300,100.0,1.999129638671875,1.9972254043970352,0.095
MIN_LATENCY,300,128.0,2.431118681936553,2.4302312677556817,0.037
MIN_LATENCY,300,256.0,4.771522521972656,4.767354736328125,0.087
MIN_LATENCY,510,8.0,0.1878063190910933,0.1877548364492563,0.027
MIN_LATENCY,510,16.0,0.32982023885427425,0.3298942278618593,0.022
MIN_LATENCY,510,25.0,0.4943001556396484,0.4949072005900931,0.123
MIN_LATENCY,510,32.0,0.6203872203826905,0.6199278741820246,0.074
MIN_LATENCY,510,64.0,1.1838540148379197,1.1854368209838868,0.134
MIN_LATENCY,510,100.0,1.5677396733710105,1.569408530377327,0.106
MIN_LATENCY,510,128.0,1.9332909217247596,1.9331686401367185,0.006
MIN_LATENCY,510,256.0,3.7495855422247026,3.754481433686756,0.131
MIN_LATENCY,705,8.0,0.16803647481325026,0.16826778403901357,0.138
MIN_LATENCY,705,16.0,0.2932795837847856,0.2927069413034539,0.195
MIN_LATENCY,705,25.0,0.43921225531983776,0.44132350921630864,0.481
MIN_LATENCY,705,32.0,0.5507386961183347,0.551118232834507,0.069
MIN_LATENCY,705,64.0,1.0485598112407484,1.0457230461968314,0.271
MIN_LATENCY,705,100.0,1.3352228437151228,1.33308345249721,0.16
MIN_LATENCY,705,128.0,1.6541384489639945,1.6550111190132473,0.053
MIN_LATENCY,705,256.0,3.2263765970865883,3.2245076497395835,0.058
MIN_LATENCY,900,8.0,0.13815016313032671,0.13861219853940215,0.334
MIN_LATENCY,900,16.0,0.23825589981547163,0.2379941472036396,0.11
MIN_LATENCY,900,25.0,0.3558326721191406,0.3558494088730374,0.005
MIN_LATENCY,900,32.0,0.44591706557080923,0.4462279583774717,0.07
MIN_LATENCY,900,64.0,0.8588399472443953,0.8602646537449049,0.166
MIN_LATENCY,900,100.0,1.1074801276711856,1.1083195472831158,0.076
MIN_LATENCY,900,128.0,1.3726025172642298,1.3715821402413506,0.074
MIN_LATENCY,900,256.0,2.670980308795797,2.6730849693561423,0.079
MIN_LATENCY,1200,8.0,0.10632684778284143,0.10739069919960172,1.001
MIN_LATENCY,1200,16.0,0.1894797405793299,0.1899955280875691,0.272
MIN_LATENCY,1200,25.0,0.28504484407194364,0.28500149997837865,0.015
MIN_LATENCY,1200,32.0,0.3574656684277794,0.35759378572789635,0.036
MIN_LATENCY,1200,64.0,0.6935177729679988,0.693833433906987,0.046
MIN_LATENCY,1200,100.0,0.8713155589384192,0.8739781171426007,0.306
MIN_LATENCY,1200,128.0,1.067625257703993,1.0739185442243304,0.589
MIN_LATENCY,1200,256.0,2.066620676141036,2.0679787083675985,0.066
MIN_LATENCY,1410,8.0,0.10155774660759571,0.1012854245629641,0.268
MIN_LATENCY,1410,16.0,0.18267154871860397,0.1830027921022557,0.181
MIN_LATENCY,1410,25.0,0.2761318404586227,0.2760554631551107,0.028
MIN_LATENCY,1410,32.0,0.3481968394496985,0.3480938107686272,0.03
MIN_LATENCY,1410,64.0,0.6769707573784722,0.6770555284288194,0.013
MIN_LATENCY,1410,100.0,0.8376275031121223,0.8369706471761068,0.078
MIN_LATENCY,1410,128.0,1.0329606489701706,1.0314940603155838,0.142
MIN_LATENCY,1410,256.0,1.9595113614710367,1.9616493783346036,0.109
NCCL,300,8.0,0.381421071997186,0.37953836331192736,0.494
NCCL,300,16.0,0.5797593370616008,0.5798432933340828,0.014
NCCL,300,25.0,0.7516064224956192,0.7515451591705608,0.008
NCCL,300,32.0,0.8354965381408006,0.8353166760896382,0.022
NCCL,300,64.0,1.400066710354989,1.3988398881392046,0.088
NCCL,300,100.0,2.004981689453125,2.000061492919922,0.245
NCCL,300,128.0,2.428350830078125,2.424862948330966,0.144
