m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
1024,16384,16384,1410,54,549.756,3.8896640141805015,325.4259,1.266,141337.6,False
1024,16384,16384,1410,81,549.756,2.7351039250691733,338.05280000000005,0.925,201000.0,False
1024,16384,16384,1410,108,549.756,1.9819520314534504,372.7601,0.739,277381.0,True
2048,4096,4096,300,14,68.719,10.366634368896484,58.047399999999996,0.602,6628.9,False
2048,4096,4096,300,27,68.719,4.690090815226237,63.68029999999999,0.299,14652.1,False
2048,4096,4096,300,54,68.719,2.3935999870300293,77.0171,0.184,28709.7,False
2048,4096,4096,300,81,68.719,1.9114665985107422,77.5348,0.148,35951.2,False
2048,4096,4096,300,108,68.719,1.4453760782877605,91.90490000000001,0.133,47544.4,False
2048,4096,4096,510,14,68.719,6.107818603515625,63.5261,0.388,11251.1,False
2048,4096,4096,510,27,68.719,2.7677014668782554,76.8828,0.213,24829.1,False
2048,4096,4096,510,54,68.719,1.4134613672892253,91.6076,0.129,48617.9,False
2048,4096,4096,510,81,68.719,1.1306666533152263,101.87400000000001,0.115,60777.8,False
2048,4096,4096,510,108,68.719,0.854528029759725,119.17469999999999,0.102,80418.0,False
2048,4096,4096,705,14,68.719,4.4212907155354815,70.0082,0.31,15542.9,False
2048,4096,4096,705,27,68.719,2.0061866442362466,81.77470000000001,0.164,34253.8,False
2048,4096,4096,705,54,68.719,1.0255359808603923,104.8919,0.108,67008.4,False
2048,4096,4096,705,81,68.719,0.8212479750315348,121.60855555555557,0.1,83676.9,False
2048,4096,4096,705,108,68.719,0.6219093402226766,132.0271111111111,0.082,110497.6,False
2048,4096,4096,900,14,68.719,3.468458811442057,72.17249999999999,0.25,19812.7,False
2048,4096,4096,900,27,68.719,1.5737172762552898,91.535,0.144,43667.0,False
2048,4096,4096,900,54,68.719,0.8053759733835856,124.82722222222225,0.101,85326.0,False
2048,4096,4096,900,81,68.719,0.6451199849446615,141.56011111111113,0.091,106522.0,False
2048,4096,4096,900,108,68.719,0.4882773160934448,155.89266666666668,0.076,140738.6,False
2048,4096,4096,1200,14,68.719,2.603007952372233,95.3432,0.248,26400.0,False
2048,4096,4096,1200,27,68.719,1.182207981745402,124.39349999999999,0.147,58128.1,False
2048,4096,4096,1200,54,68.719,0.6056960026423136,165.50411111111111,0.1,113455.4,False
2048,4096,4096,1200,81,68.719,0.48657067616780597,210.322,0.102,141232.3,False
2048,4096,4096,1200,108,68.719,0.3696639935175578,251.8141111111111,0.093,185897.1,False
2048,4096,4096,1410,14,68.719,2.2203733126322427,129.2738,0.287,30949.5,False
2048,4096,4096,1410,27,68.719,1.008128007253011,194.67510000000001,0.196,68165.4,False
2048,4096,4096,1410,54,68.719,0.5171200037002563,269.9255555555556,0.14,132888.8,False
2048,4096,4096,1410,81,68.719,0.4203519821166992,272.4008888888889,0.115,163480.8,False
2048,4096,4096,1410,108,68.719,0.31539199749628705,279.133125,0.088,217885.9,False
2048,8192,8192,300,14,274.878,39.47281138102213,58.62590909090909,2.314,6963.7,False
2048,8192,8192,300,27,274.878,18.385237375895183,66.54172727272727,1.223,14951.0,False
2048,8192,8192,300,54,274.878,9.237674713134766,77.07119999999999,0.712,29756.2,False
2048,8192,8192,300,81,274.878,6.478848139444987,88.23850000000002,0.572,42427.0,False
2048,8192,8192,300,108,274.878,4.643669446309407,102.5413,0.476,59194.1,False
2048,8192,8192,510,14,274.878,23.233535766601562,64.5618,1.5,11831.1,False
2048,8192,8192,510,27,274.878,10.823509216308594,80.5652,0.872,25396.4,False
2048,8192,8192,510,54,274.878,5.440511703491211,97.3714,0.53,50524.3,False
2048,8192,8192,510,81,274.878,3.817983945210775,111.82419999999999,0.427,71995.6,False
2048,8192,8192,510,108,274.878,2.7388585408528647,131.3398,0.36,100362.2,False
2048,8192,8192,705,14,274.878,16.81066640218099,68.03945454545455,1.144,16351.4,False
2048,8192,8192,705,27,274.878,7.83735466003418,88.96790000000001,0.697,35072.8,False
2048,8192,8192,705,54,274.878,3.9401814142862954,117.23060000000001,0.462,69762.8,False
2048,8192,8192,705,81,274.878,2.765141487121582,133.3074,0.369,99408.3,False
2048,8192,8192,705,108,274.878,1.9850239753723145,172.6522,0.343,138475.9,False
2048,8192,8192,900,14,274.878,13.182122548421225,77.651,1.024,20852.3,False
2048,8192,8192,900,27,274.878,6.143317540486653,105.85889999999999,0.65,44744.2,False
2048,8192,8192,900,54,274.878,3.0885547002156577,136.6012,0.422,88998.9,False
2048,8192,8192,900,81,274.878,2.1695146560668945,166.8076,0.362,126700.2,False
2048,8192,8192,900,108,274.878,1.5561386744181316,204.01800000000003,0.317,176641.0,False
2048,8192,8192,1200,14,274.878,9.878186543782553,97.9626,0.968,27826.8,False
2048,8192,8192,1200,27,274.878,4.608170509338379,138.51190000000003,0.638,59650.1,False
2048,8192,8192,1200,54,274.878,2.318847974141439,188.2911,0.437,118540.7,False
2048,8192,8192,1200,81,274.878,1.6305492719014485,235.64270000000002,0.384,168579.9,False
2048,8192,8192,1200,108,274.878,1.1731626987457275,315.7232,0.37,234305.0,False
2048,8192,8192,1410,14,274.878,8.425642649332682,141.2893,1.19,32624.0,False
2048,8192,8192,1410,27,274.878,3.9297707875569663,212.2407,0.834,69947.6,False
2048,8192,8192,1410,54,274.878,1.976319948832194,299.017,0.591,139085.7,False
2048,8192,8192,1410,81,274.878,1.388543923695882,391.62379999999996,0.544,197961.3,False
2048,8192,8192,1410,108,274.878,0.9992533524831136,406.90950000000004,0.407,275083.3,False
2048,16384,16384,300,14,1099.512,158.17642211914062,58.862833333333334,9.311,6951.2,False
2048,16384,16384,300,27,1099.512,72.02543131510417,69.96490909090907,5.039,15265.6,False
2048,16384,16384,300,54,1099.512,34.60027821858724,78.72009090909091,2.724,31777.5,False
2048,16384,16384,300,81,1099.512,23.681195576985676,93.07372727272727,2.204,46429.7,False
2048,16384,16384,300,108,1099.512,18.22105662027995,100.2630909090909,1.827,60342.9,False
2048,16384,16384,510,14,1099.512,93.03774007161458,65.331,6.078,11817.9,False
2048,16384,16384,510,27,1099.512,42.38080088297526,82.15709090909091,3.482,25943.6,False
2048,16384,16384,510,54,1099.512,20.363946278889973,97.06850000000001,1.977,53993.1,False
2048,16384,16384,510,81,1099.512,13.945685068766275,115.75963636363636,1.614,78842.4,False
2048,16384,16384,510,108,1099.512,10.724180857340494,124.4212,1.334,102526.4,False
2048,16384,16384,705,14,1099.512,67.31178792317708,71.95663636363636,4.844,16334.6,False
2048,16384,16384,705,27,1099.512,30.674603780110676,91.20536363636364,2.798,35844.4,False
2048,16384,16384,705,54,1099.512,14.7324587504069,119.96336363636365,1.767,74631.9,False
2048,16384,16384,705,81,1099.512,10.089813232421875,139.66479999999999,1.409,108972.4,False
2048,16384,16384,705,108,1099.512,7.76362673441569,174.6011,1.356,141623.5,False
2048,16384,16384,900,14,1099.512,52.732076009114586,78.30263636363637,4.129,20850.9,False
2048,16384,16384,900,27,1099.512,24.03839874267578,107.56809090909093,2.586,45739.8,False
2048,16384,16384,900,54,1099.512,11.546112060546875,140.28849999999997,1.62,95227.9,False
2048,16384,16384,900,81,1099.512,7.911935806274414,172.22190000000003,1.363,138968.7,False
2048,16384,16384,900,108,1099.512,6.083413441975911,214.2657,1.303,180739.3,False
2048,16384,16384,1200,14,1099.512,39.568214416503906,102.30409090909092,4.048,27787.7,False
2048,16384,16384,1200,27,1099.512,18.02444839477539,151.27254545454545,2.727,61001.1,False
2048,16384,16384,1200,54,1099.512,8.662186940511068,208.61470000000003,1.807,126932.3,False
2048,16384,16384,1200,81,1099.512,5.93783442179362,266.0869,1.58,185170.5,False
2048,16384,16384,1200,108,1099.512,4.569258689880371,332.9134,1.521,240632.4,False
2048,16384,16384,1410,14,1099.512,33.69642639160156,138.2870909090909,4.66,32629.9,False
2048,16384,16384,1410,27,1099.512,15.35436757405599,223.217,3.427,71609.0,False
2048,16384,16384,1410,54,1099.512,7.384917577107747,329.85769999999997,2.436,148886.1,False
2048,16384,16384,1410,81,1099.512,5.065727869669597,362.62589999999994,1.837,217049.1,False
2048,16384,16384,1410,108,1099.512,3.971242586771647,345.7858,1.373,276868.4,True
4096,4096,4096,300,14,137.439,20.023807525634766,57.0952,1.143,6863.8,False
4096,4096,4096,300,27,137.439,9.336661020914713,66.31139999999999,0.619,14720.4,False
4096,4096,4096,300,54,137.439,4.739583969116211,77.7769,0.369,28998.1,False
4096,4096,4096,300,81,137.439,3.3310718536376953,86.43739999999998,0.288,41259.7,False
4096,4096,4096,300,108,137.439,2.3980372746785483,101.3895,0.243,57313.1,False
