clock_req_mhz,t_since_heat_s,temp_c,power_w,clock_sm,throttle
1200,132.07,34,68.476,1200,0
1200,133.07,34,68.476,1200,0
1200,134.07,34,68.406,1200,0
1200,135.07,34,68.406,1200,0
1200,136.07,34,68.476,1200,0
1200,137.07,34,68.679,1200,0
1200,138.07,34,68.406,1200,0
1200,139.07,34,68.406,1200,0
1200,140.07,34,68.406,1200,0
1200,141.07,34,68.476,1200,0
1200,142.07,34,68.476,1200,0
1200,143.07,34,68.476,1200,0
1200,144.07,34,68.476,1200,0
1200,145.07,34,68.476,1200,0
1200,146.07,34,68.476,1200,0
1200,147.07,34,68.476,1200,0
1200,148.07,34,68.476,1200,0
1200,149.08,34,68.406,1200,0
1200,150.08,34,68.406,1200,0
1200,151.08,34,68.406,1200,0
1200,152.08,34,68.406,1200,0
1200,153.08,34,68.476,1200,0
1200,154.08,34,68.406,1200,0
1200,155.08,34,68.476,1200,0
1200,156.08,34,68.406,1200,0
1200,157.08,34,68.476,1200,0
1200,158.08,34,68.406,1200,0
1200,159.08,34,68.406,1200,0
1200,160.08,34,68.476,1200,0
1200,161.08,34,68.476,1200,0
1200,162.08,34,68.476,1200,0
1200,163.08,34,68.476,1200,0
1200,164.08,34,68.406,1200,0
1200,165.08,34,68.406,1200,0
1200,166.08,34,68.476,1200,0
1200,167.08,34,68.406,1200,0
1200,168.08,34,68.476,1200,0
1200,169.08,34,68.476,1200,0
1200,170.08,34,68.406,1200,0
1200,171.08,34,68.679,1200,0
1200,172.08,34,68.406,1200,0
1200,173.08,34,68.406,1200,0
1200,174.08,34,68.476,1200,0
1200,175.09,34,68.476,1200,0
1200,176.09,34,68.406,1200,0
1200,177.09,34,68.406,1200,0
1200,178.09,34,68.476,1200,0
1200,179.09,34,68.406,1200,0
1200,180.09,34,68.406,1200,0
1200,181.09,34,68.476,1200,0
1200,182.09,34,68.476,1200,0
1200,183.09,34,68.476,1200,0
1200,184.09,34,68.476,1200,0
1200,185.09,34,68.476,1200,0
1200,186.09,34,68.406,1200,0
1200,187.09,34,68.406,1200,0
1200,188.09,34,68.476,1200,0
1200,189.09,34,68.476,1200,0
1200,190.09,34,68.476,1200,0
1200,191.09,34,68.476,1200,0
1200,192.09,34,68.406,1200,0
1200,193.09,34,68.476,1200,0
1200,194.09,34,68.406,1200,0
1200,195.09,34,68.406,1200,0
1200,196.09,34,68.476,1200,0
1200,197.09,34,68.406,1200,0
1200,198.09,34,68.476,1200,0
1200,199.09,34,68.476,1200,0
1200,200.1,34,68.476,1200,0
1200,201.1,34,68.406,1200,0
1200,202.1,34,68.406,1200,0
1200,203.1,34,68.476,1200,0
1200,204.1,34,68.406,1200,0
1200,205.1,34,68.476,1200,0
1200,206.1,34,68.476,1200,0
1200,207.1,34,68.476,1200,0
1200,208.1,34,68.476,1200,0
1200,209.1,34,68.406,1200,0
1200,210.1,34,68.476,1200,0
1200,211.1,34,68.476,1200,0
1200,212.1,34,68.476,1200,0
1200,213.1,34,68.406,1200,0
1200,214.1,34,68.476,1200,0
1200,215.1,34,68.679,1200,0
1200,216.1,34,68.476,1200,0
1200,217.1,34,68.406,1200,0
1200,218.1,34,68.476,1200,0
1200,219.1,34,68.476,1200,0
1200,220.1,34,68.406,1200,0
1200,221.1,34,68.406,1200,0
1200,222.1,34,68.406,1200,0
1200,223.1,34,68.406,1200,0
1200,224.1,34,68.476,1200,0
1200,225.1,34,68.406,1200,0
1200,226.1,34,68.476,1200,0
1200,227.1,34,68.406,1200,0
1200,228.11,34,68.476,1200,0
1200,229.11,34,68.406,1200,0
1200,230.11,34,68.406,1200,0
1200,231.11,34,68.406,1200,0
1200,232.11,34,68.476,1200,0
1200,233.11,34,68.476,1200,0
1200,234.11,34,68.476,1200,0
1200,235.11,34,68.406,1200,0
1200,236.11,34,68.476,1200,0
1200,237.11,34,68.406,1200,0
1200,238.11,34,68.406,1200,0
1200,239.11,34,68.476,1200,0
300,1.2,44,59.243,300,0
300,1.25,43,59.243,300,0
300,1.3,43,59.243,300,0
300,1.35,43,59.243,300,0
300,1.4,43,59.243,300,0
300,1.45,43,58.97,300,0
300,1.5,43,58.97,300,0
300,1.55,43,59.03,300,0
300,1.6,43,59.03,300,0
300,1.65,43,59.03,300,0
300,1.7,43,59.03,300,0
300,1.75,43,59.03,300,0
300,1.8,43,59.03,300,0
300,1.85,43,58.97,300,0
300,1.9,43,58.97,300,0
300,1.95,42,58.643,300,0
300,2.0,42,58.643,300,0
300,2.06,42,58.703,300,0
300,2.11,42,58.703,300,0
300,2.16,42,58.643,300,0
300,2.21,42,58.643,300,0
300,2.26,42,58.643,300,0
300,2.31,42,58.643,300,0
300,2.36,42,58.643,300,0
300,2.41,42,58.703,300,0
300,2.46,42,58.703,300,0
300,2.51,42,58.643,300,0
300,2.56,42,58.643,300,0
300,2.61,42,58.643,300,0
300,2.66,42,58.643,300,0
300,2.71,42,58.643,300,0
300,2.76,42,58.643,300,0
300,2.81,42,58.643,300,0
300,2.86,42,58.643,300,0
300,2.91,42,58.703,300,0
300,2.96,42,58.703,300,0
300,3.01,41,58.37,300,0
300,3.06,41,58.37,300,0
300,3.11,41,58.37,300,0
300,3.16,41,58.37,300,0
300,3.21,41,58.37,300,0
300,3.26,41,58.37,300,0
300,3.31,41,58.37,300,0
300,3.36,41,58.37,300,0
300,3.41,41,58.37,300,0
300,3.46,41,58.37,300,0
300,3.51,41,58.37,300,0
300,3.56,41,58.37,300,0
300,3.62,41,58.37,300,0
300,3.67,41,58.37,300,0
300,3.72,41,58.37,300,0
300,3.77,41,58.37,300,0
300,3.82,41,58.37,300,0
300,3.87,41,58.37,300,0
300,3.92,41,58.37,300,0
300,3.97,41,58.37,300,0
300,4.02,41,58.37,300,0
300,4.07,41,58.37,300,0
300,4.12,41,58.37,300,0
300,4.17,41,58.37,300,0
300,4.22,41,58.37,300,0
300,4.27,41,58.37,300,0
300,4.32,41,58.37,300,0
300,4.37,41,58.37,300,0
300,4.42,41,58.37,300,0
300,4.47,41,58.43,300,0
300,4.52,41,58.703,300,0
300,4.57,41,58.703,300,0
300,4.62,41,58.37,300,0
300,4.67,41,58.37,300,0
300,4.72,40,58.37,300,0
300,4.77,40,58.37,300,0
300,4.82,40,58.37,300,0
300,4.87,40,58.37,300,0
300,4.92,40,58.37,300,0
300,4.97,40,58.37,300,0
300,5.02,40,58.37,300,0
300,5.07,40,58.37,300,0
300,5.12,40,58.37,300,0
300,5.17,40,58.37,300,0
300,5.22,40,58.43,300,0
300,5.27,40,58.43,300,0
300,5.32,40,58.43,300,0
300,5.38,40,58.43,300,0
300,5.43,40,58.43,300,0
300,5.48,40,58.43,300,0
300,5.53,40,58.43,300,0
300,5.58,40,58.43,300,0
300,5.63,40,58.37,300,0
300,5.68,40,58.37,300,0
300,5.73,40,58.37,300,0
300,5.78,40,58.37,300,0
300,5.83,40,58.37,300,0
300,5.88,40,58.37,300,0
300,5.93,40,58.37,300,0
300,5.98,40,58.37,300,0
300,6.03,40,58.37,300,0
300,6.08,40,58.37,300,0
300,6.13,40,58.43,300,0
300,6.18,40,58.43,300,0
300,6.23,40,58.37,300,0
300,6.28,40,58.37,300,0
300,6.33,40,58.37,300,0
300,6.38,40,58.37,300,0
300,6.43,40,58.37,300,0
300,6.48,40,58.37,300,0
300,6.53,40,58.37,300,0
300,6.58,40,58.37,300,0
300,6.63,40,58.094,300,0
300,6.68,40,58.094,300,0
300,6.73,40,58.094,300,0
300,6.78,40,58.094,300,0
300,6.83,40,58.035,300,0
300,6.88,40,58.035,300,0
300,6.93,40,58.035,300,0
300,6.98,40,58.035,300,0
300,7.03,40,58.035,300,0
300,7.08,40,58.035,300,0
300,7.13,40,58.094,300,0
300,7.18,40,58.094,300,0
300,7.24,39,58.094,300,0
300,7.29,39,58.094,300,0
300,7.34,39,58.035,300,0
300,7.39,39,58.035,300,0
300,7.44,39,58.035,300,0
300,7.49,39,58.035,300,0
300,7.54,39,58.035,300,0
300,7.59,39,58.035,300,0
300,7.64,39,58.035,300,0
300,7.69,39,58.035,300,0
300,7.74,39,58.035,300,0
300,7.79,39,58.035,300,0
300,7.84,39,58.035,300,0
300,7.89,39,58.035,300,0
300,7.94,39,58.035,300,0
300,7.99,39,58.035,300,0
300,8.04,39,58.094,300,0
300,8.09,39,58.094,300,0
300,8.14,39,58.094,300,0
300,8.19,39,58.094,300,0
300,8.24,39,58.035,300,0
300,8.29,39,58.035,300,0
300,8.34,39,58.094,300,0
300,8.39,39,58.094,300,0
300,8.44,39,58.094,300,0
300,8.49,39,58.094,300,0
300,8.54,39,58.094,300,0
300,8.59,39,58.094,300,0
300,8.64,39,58.035,300,0
300,8.69,39,58.035,300,0
300,8.74,39,58.094,300,0
300,8.79,39,58.094,300,0
300,8.84,39,58.094,300,0
300,8.89,39,58.094,300,0
300,8.94,39,58.035,300,0
300,8.99,39,58.035,300,0
300,9.05,39,57.821,300,0
300,9.1,39,57.821,300,0
300,9.15,39,58.094,300,0
300,9.2,39,58.094,300,0
300,9.25,39,58.094,300,0
300,9.3,39,58.094,300,0
300,9.35,39,58.094,300,0
300,9.4,39,58.094,300,0
300,9.45,39,58.035,300,0
300,9.5,39,58.035,300,0
300,9.55,39,57.762,300,0
300,9.6,39,57.762,300,0
300,9.65,39,58.094,300,0
300,9.7,39,58.094,300,0
300,9.75,39,57.821,300,0
300,9.8,39,57.821,300,0
300,9.85,39,58.094,300,0
300,9.9,39,58.094,300,0
300,9.95,39,57.762,300,0
300,10.0,39,57.762,300,0
300,10.05,39,57.821,300,0
300,10.1,39,57.821,300,0
300,10.15,39,57.821,300,0
300,10.2,39,57.821,300,0
300,10.25,39,57.821,300,0
300,10.3,39,57.821,300,0
300,10.35,39,57.821,300,0
300,10.4,39,57.821,300,0
300,10.45,39,57.821,300,0
300,10.5,39,57.821,300,0
300,10.55,38,57.821,300,0
300,10.6,38,57.821,300,0
300,10.65,38,57.762,300,0
300,10.7,38,57.762,300,0
300,10.75,38,57.762,300,0
300,10.81,38,57.762,300,0
300,10.86,38,57.762,300,0
300,10.91,38,57.762,300,0
300,10.96,38,57.821,300,0
300,11.01,38,57.821,300,0
300,11.06,38,57.762,300,0
300,11.11,38,57.762,300,0
300,11.16,38,57.821,300,0
300,11.21,38,57.821,300,0
300,11.26,38,57.762,300,0
300,11.31,38,57.821,300,0
300,11.36,38,57.821,300,0
300,11.41,38,57.762,300,0
300,11.46,38,57.762,300,0
300,11.51,38,57.762,300,0
300,11.56,38,57.762,300,0
300,11.61,38,57.821,300,0
300,11.66,38,57.821,300,0
300,11.71,38,57.821,300,0
300,11.76,38,57.821,300,0
300,11.81,38,57.762,300,0
300,11.86,38,57.762,300,0
300,11.91,38,57.821,300,0
300,11.96,38,57.821,300,0
300,12.01,38,57.821,300,0
300,12.06,38,57.821,300,0
300,12.11,38,57.821,300,0
300,12.16,38,57.821,300,0
300,12.21,38,57.821,300,0
300,12.26,38,57.821,300,0
300,12.31,38,57.762,300,0
300,12.36,38,57.762,300,0
300,12.41,38,57.821,300,0
300,12.47,38,57.821,300,0
300,12.52,38,57.762,300,0
300,12.57,38,57.762,300,0
300,12.62,38,57.821,300,0
300,12.67,38,57.821,300,0
300,12.72,38,57.762,300,0
300,12.77,38,57.762,300,0
300,12.82,38,57.821,300,0
300,12.87,38,57.821,300,0
300,12.92,38,57.821,300,0
300,12.97,38,57.821,300,0
300,13.02,38,57.821,300,0
300,13.07,38,57.821,300,0
300,13.12,38,57.762,300,0
300,13.17,38,57.762,300,0
300,13.22,38,57.548,300,0
300,13.27,38,57.548,300,0
300,13.32,38,57.821,300,0
300,13.37,38,57.821,300,0
300,13.42,38,57.821,300,0
300,13.47,38,57.821,300,0
300,13.52,38,57.821,300,0
300,13.57,38,57.821,300,0
300,13.62,38,57.489,300,0
300,13.67,38,57.489,300,0
300,13.72,38,57.548,300,0
300,13.77,38,57.548,300,0
300,13.82,38,57.548,300,0
300,13.87,38,57.548,300,0
300,13.92,38,57.762,300,0
300,13.97,38,57.762,300,0
300,14.02,38,57.548,300,0
300,14.07,38,57.548,300,0
300,14.13,38,57.821,300,0
300,14.18,38,57.821,300,0
300,14.23,38,57.548,300,0
300,14.28,38,57.548,300,0
300,14.33,38,57.489,300,0
300,14.38,38,57.489,300,0
300,14.43,38,57.548,300,0
300,14.48,38,57.548,300,0
300,14.53,38,57.548,300,0
300,14.58,38,57.548,300,0
300,14.63,38,57.548,300,0
300,14.68,38,57.548,300,0
300,14.73,38,57.489,300,0
300,14.78,38,57.489,300,0
300,14.83,38,57.548,300,0
300,14.88,38,57.548,300,0
300,14.93,38,57.548,300,0
300,14.98,38,57.548,300,0
300,15.03,38,57.548,300,0
300,15.08,38,57.548,300,0
300,15.13,37,57.548,300,0
300,15.18,37,57.548,300,0
300,15.23,37,57.548,300,0
300,15.28,37,57.548,300,0
300,15.33,37,57.548,300,0
300,15.38,37,57.548,300,0
300,15.43,37,57.489,300,0
300,15.48,37,57.489,300,0
300,15.53,37,57.548,300,0
300,15.58,37,57.548,300,0
300,15.63,37,57.489,300,0
300,15.68,37,57.489,300,0
300,15.73,37,57.548,300,0
300,15.78,37,57.548,300,0
300,15.83,37,57.489,300,0
300,15.88,37,57.489,300,0
300,15.93,37,57.548,300,0
300,15.99,37,57.548,300,0
300,16.04,37,57.489,300,0
300,16.09,37,57.489,300,0
300,16.14,37,57.548,300,0
300,16.19,37,57.548,300,0
300,16.24,37,57.489,300,0
300,16.29,37,57.489,300,0
300,16.34,37,57.489,300,0
300,16.39,37,57.489,300,0
300,16.44,37,57.489,300,0
300,16.49,37,57.489,300,0
300,16.54,37,57.548,300,0
300,16.59,37,57.548,300,0
300,16.64,37,57.548,300,0
300,16.69,37,57.548,300,0
300,16.74,37,57.548,300,0
300,16.79,37,57.548,300,0
300,16.84,37,57.548,300,0
300,16.89,37,57.548,300,0
300,16.94,37,57.489,300,0
300,16.99,37,57.489,300,0
300,17.04,37,57.548,300,0
300,17.09,37,57.548,300,0
300,17.14,37,57.489,300,0
300,17.19,37,57.489,300,0
300,17.24,37,57.489,300,0
300,17.29,37,57.489,300,0
300,17.34,37,57.548,300,0
300,17.39,37,57.548,300,0
300,17.44,37,57.548,300,0
300,17.49,37,57.548,300,0
300,17.54,37,57.548,300,0
300,17.59,37,57.548,300,0
300,17.64,37,57.548,300,0
300,17.69,37,57.548,300,0
300,17.75,37,57.548,300,0
300,17.8,37,57.548,300,0
300,17.85,37,57.548,300,0
300,17.9,37,57.548,300,0
300,17.95,37,57.489,300,0
300,18.0,37,57.489,300,0
300,18.05,37,57.489,300,0
300,18.1,37,57.489,300,0
300,18.15,37,57.489,300,0
300,18.2,37,57.489,300,0
300,18.25,37,57.548,300,0
300,18.3,37,57.548,300,0
300,18.35,37,57.548,300,0
300,18.4,37,57.548,300,0
300,18.45,37,57.162,300,0
300,18.5,37,57.162,300,0
300,18.55,37,57.548,300,0
300,18.6,37,57.548,300,0
300,18.65,37,57.489,300,0
300,18.7,37,57.489,300,0
300,18.75,37,57.162,300,0
300,18.8,37,57.162,300,0
300,18.85,37,57.489,300,0
300,18.9,37,57.489,300,0
300,18.95,37,57.162,300,0
300,19.0,37,57.162,300,0
300,19.05,37,57.162,300,0
300,19.1,37,57.162,300,0
300,19.15,37,57.162,300,0
300,19.2,37,57.162,300,0
300,19.25,37,57.162,300,0
300,19.3,37,57.162,300,0
300,19.35,37,57.221,300,0
300,19.4,37,57.221,300,0
300,19.46,37,57.162,300,0
300,19.51,37,57.162,300,0
300,19.56,37,57.162,300,0
