rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status
1,1024,8192,8192,510,94,14,11.476666,73.996,849.2274,11975.5,510,510,True,none,40,62.542,14,True,173,1.985,30,73.919,74.319,ok
1,8192,4096,4096,510,94,14,22.152811,74.319,1646.3747,12408.3,510,510,True,none,40,62.542,14,True,89,1.972,30,73.996,74.587,ok
1,8192,8192,8192,510,94,14,86.127911,78.638,6772.9267,12766.0,510,510,True,none,40,62.542,14,True,23,1.981,30,78.288,78.886,ok
1,2048,16384,16384,510,94,14,85.579185,79.422,6796.87,12847.9,510,510,True,none,40,62.542,14,True,23,1.968,30,78.556,79.827,ok
1,2048,8192,8192,510,94,14,21.678165,78.369,1698.8961,12679.9,510,510,True,none,40,62.542,14,True,91,1.973,30,78.047,78.638,ok
1,2048,4096,4096,510,94,14,5.592226,73.651,411.873,12288.4,510,510,True,none,40,62.542,14,True,354,1.98,30,73.321,73.728,ok
1,1024,4096,4096,510,94,14,2.904156,73.398,213.1592,11831.2,510,510,True,none,39,62.542,14,True,666,1.934,29,73.053,73.398,ok
1,2048,4096,4096,1410,94,14,2.012443,146.16,294.1387,34147.3,1410,1410,True,none,43,89.985,14,True,968,1.948,29,144.114,146.704,ok
1,4096,8192,8192,1410,94,14,15.46767,161.641,2500.2096,35542.3,1410,1410,True,none,44,89.985,14,True,128,1.98,30,160.776,161.909,ok
1,8192,16384,16384,1410,94,14,121.381494,165.416,20078.4412,36233.3,1410,1410,True,none,45,89.985,14,True,16,1.942,29,163.364,165.683,ok
1,4096,4096,4096,1410,94,14,3.988029,149.026,594.3201,34462.9,1410,1410,True,none,45,89.985,14,True,491,1.958,29,147.47,149.617,ok
1,2048,8192,8192,1410,94,14,7.754598,161.591,1253.0733,35447.1,1410,1410,True,none,45,89.985,14,True,253,1.962,30,160.186,162.506,ok
1,2048,16384,16384,1410,94,14,30.570269,165.588,5062.0698,35966.7,1410,1410,True,none,46,89.985,14,True,65,1.987,30,163.864,166.005,ok
1,1024,4096,4096,1410,94,14,1.048398,145.838,152.8963,32773.6,1410,1410,True,none,45,89.985,14,True,1855,1.945,29,144.382,146.436,ok
1,8192,8192,8192,1410,94,14,30.755345,163.266,5021.3022,35750.3,1410,1410,True,none,46,89.985,14,True,64,1.968,29,161.542,163.534,ok
1,1024,16384,16384,1410,94,14,15.289441,163.864,2505.3889,35956.6,1410,1410,True,none,46,89.985,14,True,128,1.957,29,161.81,164.4,ok
1,4096,16384,16384,1410,94,14,60.734376,166.179,10092.7778,36207.2,1410,1410,True,none,46,89.985,14,True,32,1.944,29,164.722,166.454,ok
1,8192,4096,4096,1410,94,14,7.902511,150.805,1191.7381,34783.6,1410,1410,True,none,46,89.985,14,True,248,1.96,30,150.483,151.073,ok
1,1024,8192,8192,1410,94,14,4.124243,148.482,612.3758,33324.7,1410,1410,True,none,46,89.985,14,True,473,1.951,29,147.026,149.348,ok
1,4096,16384,16384,1410,81,27,31.301143,224.456,7025.7294,70253.8,1410,1410,True,none,49,92.481,27,True,63,1.972,30,222.133,225.912,ok
1,1024,8192,8192,1410,81,27,2.161009,196.88,425.4595,63599.4,1410,1410,True,none,49,92.481,27,True,903,1.951,29,196.014,197.202,ok
1,2048,4096,4096,1410,81,27,1.114655,194.558,216.865,61650.9,1410,1410,True,none,49,92.481,27,True,1725,1.923,29,194.29,195.156,ok
1,4096,8192,8192,1410,81,27,8.025485,220.409,1768.8892,68501.3,1410,1410,True,none,50,92.481,27,True,246,1.974,30,218.945,221.304,ok
1,1024,4096,4096,1410,81,27,0.561067,192.834,108.1927,61240.0,1410,1410,True,none,50,92.481,27,True,3027,1.698,24,192.244,193.432,ok
1,2048,16384,16384,1410,81,27,15.866127,225.046,3570.6083,69299.3,1410,1410,True,none,51,92.481,27,True,124,1.967,30,222.724,225.314,ok
1,8192,16384,16384,1410,81,27,62.323468,227.636,14187.0649,70568.1,1410,1410,True,none,51,92.481,27,True,31,1.932,29,225.912,228.226,ok
1,4096,4096,4096,1410,81,27,2.118062,204.169,432.4426,64889.0,1410,1410,True,none,51,92.481,27,True,923,1.955,29,203.359,205.027,ok
1,2048,8192,8192,1410,81,27,4.120112,219.582,904.7025,66716.1,1410,1410,True,none,51,92.481,27,True,476,1.961,30,214.725,222.259,ok
1,1024,16384,16384,1410,81,27,8.127157,216.178,1756.9125,67644.3,1410,1410,True,none,51,92.481,27,True,242,1.967,30,213.54,217.631,ok
1,8192,4096,4096,1410,81,27,4.119301,208.37,858.3388,66729.3,1410,1410,True,none,51,92.481,27,True,484,1.994,30,205.678,209.721,ok
1,8192,8192,8192,1410,81,27,15.854433,222.259,3523.7904,69350.4,1410,1410,True,none,52,92.481,27,True,124,1.966,30,220.768,223.356,ok
1,2048,4096,4096,1410,0,108,0.320641,404.139,129.5837,214318.7,1350,1305,False,SwPowerCap,62,86.979,108,True,5798,1.859,28,366.668,412.701,ok
1,1024,4096,4096,1410,0,108,0.205739,388.547,79.9392,167006.6,1410,1410,True,none,64,86.979,108,True,7510,1.545,21,381.61,392.136,ok
1,8192,8192,8192,1410,0,108,4.233649,395.264,1673.4092,259707.8,1245,1230,False,SwPowerCap,65,86.979,108,True,496,2.1,32,384.781,411.949,ok
1,1024,8192,8192,1410,0,108,0.579992,396.495,229.9638,236967.1,1275,1275,False,SwPowerCap,65,86.979,108,True,3120,1.81,27,395.631,406.889,ok
1,4096,4096,4096,1410,0,108,0.563859,400.266,225.6937,243746.9,1275,1260,False,SwPowerCap,66,86.979,108,True,3254,1.835,27,391.004,410.063,ok
1,2048,16384,16384,1410,0,108,4.342881,400.087,1737.5302,253175.6,1260,1245,False,SwPowerCap,67,86.979,108,True,452,1.963,30,384.327,409.795,ok
1,4096,8192,8192,1410,0,108,2.200488,399.348,878.7603,249833.6,1260,1245,False,SwPowerCap,67,86.979,108,True,899,1.978,30,383.007,414.69,ok
1,8192,16384,16384,1410,0,108,16.725263,400.266,6694.5541,262958.3,1245,1230,False,SwPowerCap,67,86.979,108,True,116,1.94,29,389.551,405.757,ok
1,2048,8192,8192,1410,0,108,1.1019,404.893,446.1515,249458.2,1275,1245,False,SwPowerCap,67,86.979,108,True,1675,1.846,27,380.289,412.105,ok
1,4096,16384,16384,1410,0,108,8.378738,401.122,3360.896,262452.8,1245,1215,False,SwPowerCap,68,86.979,108,True,231,1.935,29,382.01,401.665,ok
1,8192,4096,4096,1410,0,108,1.130138,397.192,448.8817,243225.1,1260,1260,False,SwPowerCap,68,86.979,108,True,1668,1.885,28,390.683,413.237,ok
1,1024,16384,16384,1410,0,108,2.184554,404.304,883.2239,251655.9,1260,1245,False,SwPowerCap,68,86.979,108,True,897,1.96,30,379.968,405.16,ok
1,2048,16384,16384,1410,54,54,7.86228,345.056,2712.927,139846.4,1410,1410,True,none,62,99.601,54,True,248,1.95,29,342.744,348.777,ok
1,1024,16384,16384,1410,54,54,4.13934,330.234,1366.9507,132812.4,1410,1410,True,none,62,99.601,54,True,473,1.958,29,319.508,336.65,ok
1,2048,8192,8192,1410,54,54,2.099068,331.153,695.1126,130952.4,1410,1410,True,none,62,99.601,54,True,934,1.961,30,327.057,333.74,ok
1,1024,4096,4096,1410,54,54,0.310698,287.062,89.1897,110588.7,1410,1410,True,none,60,99.601,54,True,5861,1.821,27,285.929,288.281,ok
1,8192,4096,4096,1410,54,54,2.045134,327.057,668.8754,134405.8,1410,1410,True,none,62,99.601,54,True,956,1.955,29,325.924,328.779,ok
1,4096,8192,8192,1410,54,54,3.985002,342.415,1364.5243,137956.2,1410,1410,True,none,63,99.601,54,True,492,1.961,30,340.102,344.145,ok
1,4096,4096,4096,1410,54,54,1.078979,318.212,343.3442,127378.7,1410,1410,True,none,62,99.601,54,True,1725,1.861,28,317.186,319.837,ok
1,8192,16384,16384,1410,54,54,30.606961,355.678,10886.2228,143694.3,1410,1410,True,none,64,99.601,54,True,65,1.989,30,353.854,357.674,ok
1,2048,4096,4096,1410,54,54,0.542036,317.912,172.3196,126780.4,1410,1410,True,none,63,99.601,54,True,3630,1.968,30,316.589,318.906,ok
1,8192,8192,8192,1410,54,54,7.864912,347.146,2730.2729,139799.6,1410,1410,True,none,64,99.601,54,True,251,1.974,30,345.238,349.33,ok
1,4096,16384,16384,1410,54,54,15.494927,354.5,5492.9518,141918.9,1410,1410,True,none,64,99.601,54,True,128,1.983,30,351.915,356.326,ok
1,1024,8192,8192,1410,54,54,1.103157,315.198,347.7128,124587.0,1410,1410,True,none,63,99.601,54,True,1751,1.932,29,313.153,316.92,ok
1,4096,8192,8192,1410,27,81,2.733351,404.304,1105.1046,201128.9,1365,1335,False,SwPowerCap,65,99.601,81,True,729,1.993,30,376.786,406.614,ok
1,4096,16384,16384,1410,27,81,10.612165,396.629,4209.0923,207217.2,1335,1335,False,SwPowerCap,66,99.601,81,True,186,1.974,30,389.551,413.566,ok
1,2048,16384,16384,1410,27,81,5.431061,400.266,2173.8692,202448.8,1350,1350,False,SwPowerCap,67,99.601,81,True,360,1.955,29,395.899,402.254,ok
1,1024,8192,8192,1410,27,81,0.751376,395.899,297.4691,182916.3,1380,1380,False,SwPowerCap,67,99.601,81,True,2468,1.854,27,386.048,411.837,ok
1,1024,4096,4096,1410,27,81,0.212073,385.78,81.8137,162018.1,1410,1410,True,none,67,99.601,81,True,7957,1.687,24,384.916,386.369,ok
1,2048,4096,4096,1410,27,81,0.411149,394.446,162.1761,167140.1,1410,1410,True,none,67,99.601,81,True,4338,1.784,26,376.197,407.636,ok
1,8192,16384,16384,1410,27,81,21.239123,396.468,8420.6325,207072.9,1335,1335,False,SwPowerCap,67,99.601,81,True,93,1.975,30,390.683,410.927,ok
1,8192,8192,8192,1410,27,81,5.367701,397.221,2132.1635,204838.5,1335,1335,False,SwPowerCap,67,99.601,81,True,368,1.975,30,385.184,406.614,ok
1,2048,8192,8192,1410,27,81,1.422687,394.178,560.792,193210.4,1365,1365,False,SwPowerCap,67,99.601,81,True,1336,1.901,28,382.606,407.21,ok
1,4096,4096,4096,1410,27,81,0.731005,400.399,292.6936,188013.8,1380,1365,False,SwPowerCap,67,99.601,81,True,2571,1.879,28,386.369,401.665,ok
1,8192,4096,4096,1410,27,81,1.401121,401.665,562.7813,196184.3,1365,1350,False,SwPowerCap,68,99.601,81,True,1383,1.938,29,380.825,402.575,ok
1,1024,16384,16384,1410,27,81,2.809191,397.031,1115.3359,195699.0,1365,1365,False,SwPowerCap,67,99.601,81,True,696,1.955,29,388.954,414.154,ok
1,8192,16384,16384,1200,27,81,23.56973,303.151,7145.1872,186597.2,1200,1200,True,none,60,79.919,81,True,84,1.98,30,301.562,306.194,ok
1,4096,4096,4096,1200,27,81,0.83891,273.779,229.676,163830.3,1200,1200,True,none,59,79.919,81,True,2240,1.879,28,263.022,276.665,ok
1,4096,16384,16384,1200,27,81,11.831685,300.973,3561.0178,185858.8,1200,1200,True,none,60,79.919,81,True,167,1.976,30,298.974,302.427,ok
1,1024,8192,8192,1200,27,81,0.863618,269.129,232.4246,159143.3,1200,1200,True,none,59,79.919,81,True,2109,1.821,27,265.663,271.436,ok
1,1024,4096,4096,1200,27,81,0.249086,241.034,60.0382,137943.4,1200,1200,True,none,58,79.919,81,True,7235,1.802,26,240.444,241.623,ok
1,4096,8192,8192,1200,27,81,3.09913,287.383,890.6374,177390.3,1200,1200,True,none,59,79.919,81,True,631,1.956,29,285.071,288.846,ok
1,8192,8192,8192,1200,27,81,5.997902,296.333,1777.3763,183316.0,1200,1200,True,none,60,79.919,81,True,327,1.961,30,295.159,297.209,ok
1,2048,8192,8192,1200,27,81,1.622991,279.817,454.1405,169365.0,1200,1200,True,none,59,79.919,81,True,1201,1.949,29,277.232,280.432,ok
1,2048,4096,4096,1200,27,81,0.482029,244.552,117.8812,142562.9,1200,1200,True,none,58,79.919,81,True,3828,1.845,27,244.211,245.666,ok
1,1024,16384,16384,1200,27,81,3.191611,278.254,888.0786,172250.2,1200,1200,True,none,59,79.919,81,True,616,1.966,30,275.478,281.029,ok
1,8192,4096,4096,1200,27,81,1.590278,281.297,447.3405,172848.9,1200,1200,True,none,60,79.919,81,True,1206,1.918,29,279.245,282.751,ok
1,2048,16384,16384,1200,27,81,6.110749,293.156,1791.4027,179930.7,1200,1200,True,none,60,79.919,81,True,322,1.968,30,291.426,295.2,ok
1,2048,8192,8192,1200,0,108,1.161372,349.076,405.407,236683.8,1200,1200,True,none,63,75.107,108,True,1641,1.906,28,346.457,349.963,ok
1,2048,4096,4096,1200,0,108,0.360177,301.884,108.7315,190793.9,1200,1200,True,none,62,75.107,108,True,5055,1.821,27,301.294,302.427,ok
1,1024,8192,8192,1200,0,108,0.617715,345.056,213.1463,222495.7,1200,1200,True,none,64,75.107,108,True,2967,1.833,27,344.695,345.827,ok
1,2048,16384,16384,1200,0,108,4.555319,355.089,1617.5436,241368.8,1200,1200,True,none,65,75.107,108,True,432,1.968,30,353.047,357.674,ok
1,8192,4096,4096,1200,0,108,1.188046,351.915,418.0913,231369.7,1200,1200,True,none,65,75.107,108,True,1622,1.927,29,351.319,353.141,ok
1,4096,16384,16384,1200,0,108,8.657173,371.027,3212.0449,254011.7,1200,1200,True,none,66,75.107,108,True,228,1.974,30,370.431,371.563,ok
1,8192,16384,16384,1200,0,108,17.293558,371.892,6431.336,254317.0,1200,1200,True,none,66,75.107,108,True,114,1.971,30,371.295,372.748,ok
1,4096,8192,8192,1200,0,108,2.312514,355.678,822.5104,237730.8,1200,1200,True,none,65,75.107,108,True,841,1.945,29,354.225,356.915,ok
1,1024,16384,16384,1200,0,108,2.282933,359.235,820.1096,240811.2,1200,1200,True,none,66,75.107,108,True,852,1.945,29,357.995,360.313,ok
1,4096,4096,4096,1200,0,108,0.59867,349.009,208.9411,229573.9,1200,1200,True,none,65,75.107,108,True,3102,1.857,27,348.412,349.374,ok
1,1024,4096,4096,1200,0,108,0.240806,247.985,59.7163,142686.2,1200,1200,True,none,60,75.107,108,True,7002,1.686,24,247.664,249.119,ok
1,8192,8192,8192,1200,0,108,4.394313,369.574,1624.0239,250212.4,1200,1200,True,none,66,75.107,108,True,446,1.96,29,368.389,370.55,ok
1,8192,4096,4096,1200,81,27,4.833448,144.382,697.8629,56869.9,1200,1200,True,none,51,80.012,27,True,406,1.962,30,143.846,144.704,ok
1,2048,16384,16384,1200,81,27,18.707621,158.898,2972.6036,58773.5,1200,1200,True,none,51,80.012,27,True,105,1.964,30,157.599,159.764,ok
1,1024,4096,4096,1200,81,27,0.663608,136.289,90.4425,51777.2,1200,1200,True,none,50,80.012,27,True,2674,1.774,26,136.021,136.887,ok
1,8192,16384,16384,1200,81,27,73.476749,160.622,11801.9825,59856.3,1200,1200,True,none,50,80.012,27,True,27,1.984,30,159.764,162.078,ok
1,1024,16384,16384,1200,81,27,9.587922,150.805,1445.9066,57338.4,1200,1200,True,none,50,80.012,27,True,206,1.975,30,149.617,151.341,ok
1,2048,4096,4096,1200,81,27,1.310889,137.155,179.795,52422.0,1200,1200,True,none,49,80.012,27,True,1492,1.956,29,136.557,138.013,ok
1,4096,8192,8192,1200,81,27,9.464811,153.395,1451.8546,58084.2,1200,1200,True,none,49,80.012,27,True,209,1.978,30,152.261,153.663,ok
1,1024,8192,8192,1200,81,27,2.552136,138.343,353.0701,53852.5,1200,1200,True,none,49,80.012,27,True,780,1.991,30,137.745,138.879,ok
1,4096,16384,16384,1200,81,27,36.911629,158.629,5855.2549,59575.4,1200,1200,True,none,49,80.012,27,True,54,1.993,30,157.763,159.764,ok
