rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status,p_static_w,p_static_squat_w,p_dynamic_w,energy_total_mj,energy_dynamic_mj,energy_static_mj,static_frac,p_dynamic_per_sm_w,e_dyn_squat_mj
1,2048,16384,16384,510,94,14,85.579185,79.422,6796.87,12847.9,510,510,True,none,40,62.542,14,True,23,1.968,30,78.556,79.827,ok,57.602,60.923,21.82,6796.87,1867.3378,4929.5322,0.7253,1.5586,1583.1293
1,2048,8192,8192,510,94,14,21.678165,78.369,1698.8961,12679.9,510,510,True,none,40,62.542,14,True,91,1.973,30,78.047,78.638,ok,57.602,60.923,20.767,1698.8961,450.1905,1248.7057,0.735,1.4834,378.1973
1,2048,4096,4096,510,94,14,5.592226,73.651,411.873,12288.4,510,510,True,none,40,62.542,14,True,354,1.98,30,73.321,73.728,ok,57.602,60.923,16.049,411.873,89.7496,322.1234,0.7821,1.1464,71.1779
1,1024,4096,4096,510,94,14,2.904156,73.398,213.1592,11831.2,510,510,True,none,39,62.542,14,True,666,1.934,29,73.053,73.398,ok,57.602,60.923,15.796,213.1592,45.874,167.2852,0.7848,1.1283,36.2293
1,2048,4096,4096,1410,94,14,2.012443,146.16,294.1387,34147.3,1410,1410,True,none,43,89.985,14,True,968,1.948,29,144.114,146.704,ok,85.372,88.527,60.788,294.1387,122.3324,171.8063,0.5841,4.342,115.9831
1,4096,8192,8192,1410,94,14,15.46767,161.641,2500.2096,35542.3,1410,1410,True,none,44,89.985,14,True,128,1.98,30,160.776,161.909,ok,85.372,88.527,76.269,2500.2096,1179.7037,1320.5059,0.5282,5.4478,1130.9032
1,8192,16384,16384,1410,94,14,121.381494,165.416,20078.4412,36233.3,1410,1410,True,none,45,89.985,14,True,16,1.942,29,163.364,165.683,ok,85.372,88.527,80.044,20078.4412,9715.8603,10362.5809,0.5161,5.7174,9332.9017
1,4096,4096,4096,1410,94,14,3.988029,149.026,594.3201,34462.9,1410,1410,True,none,45,89.985,14,True,491,1.958,29,147.47,149.617,ok,85.372,88.527,63.654,594.32,253.854,340.466,0.5729,4.5467,241.2718
1,2048,8192,8192,1410,94,14,7.754598,161.591,1253.0733,35447.1,1410,1410,True,none,45,89.985,14,True,253,1.962,30,160.186,162.506,ok,85.372,88.527,76.219,1253.0732,591.0477,662.0255,0.5283,5.4442,566.5819
1,2048,16384,16384,1410,94,14,30.570269,165.588,5062.0698,35966.7,1410,1410,True,none,46,89.985,14,True,65,1.987,30,163.864,166.005,ok,85.372,88.527,80.216,5062.0697,2452.2247,2609.845,0.5156,5.7297,2355.7755
1,1024,4096,4096,1410,94,14,1.048398,145.838,152.8963,32773.6,1410,1410,True,none,45,89.985,14,True,1855,1.945,29,144.382,146.436,ok,85.372,88.527,60.466,152.8963,63.3924,89.5038,0.5854,4.319,60.0847
1,8192,8192,8192,1410,94,14,30.755345,163.266,5021.3022,35750.3,1410,1410,True,none,46,89.985,14,True,64,1.968,29,161.542,163.534,ok,85.372,88.527,77.894,5021.3022,2395.6568,2625.6453,0.5229,5.5639,2298.6237
1,1024,16384,16384,1410,94,14,15.289441,163.864,2505.3889,35956.6,1410,1410,True,none,46,89.985,14,True,128,1.957,29,161.81,164.4,ok,85.372,88.527,78.492,2505.389,1200.0988,1305.2902,0.521,5.6066,1151.8606
